age	state	bmi_30_49.8	dm_(%)	n_obesity_state	Year
55-64 Years	Nebraska	53.13%	NA	93363	1/1/2025 - 11/12/2025
55-64 Years	Indiana	55.80%	NA	321301	1/1/2025 - 11/12/2025
55-64 Years	Ohio	54.53%	NA	1125825	1/1/2025 - 11/12/2025
55-64 Years	Maryland	51.30%	NA	233459	1/1/2025 - 11/12/2025
55-64 Years	Kansas	52.36%	NA	117380	1/1/2025 - 11/12/2025
55-64 Years	Missouri	53.44%	NA	123553	1/1/2025 - 11/12/2025
55-64 Years	Louisiana	53.55%	NA	278769	1/1/2025 - 11/12/2025
55-64 Years	South Carolina	53.20%	NA	430334	1/1/2025 - 11/12/2025
55-64 Years	Tennessee	51.17%	NA	194804	1/1/2025 - 11/12/2025
55-64 Years	Iowa	56.09%	NA	207659	1/1/2025 - 11/12/2025
55-64 Years	Oklahoma	53.26%	NA	141068	1/1/2025 - 11/12/2025
55-64 Years	North Carolina	52.01%	NA	765845	1/1/2025 - 11/12/2025
55-64 Years	Virginia	49.86%	NA	599802	1/1/2025 - 11/12/2025
55-64 Years	Michigan	49.90%	NA	675864	1/1/2025 - 11/12/2025
55-64 Years	Puerto Rico	53.90%	NA	10811	1/1/2025 - 11/12/2025
55-64 Years	Illinois	51.90%	NA	650581	1/1/2025 - 11/12/2025
55-64 Years	Delaware	56.35%	NA	51409	1/1/2025 - 11/12/2025
55-64 Years	Arkansas	52.54%	NA	113981	1/1/2025 - 11/12/2025
55-64 Years	Pennsylvania	49.77%	NA	949560	1/1/2025 - 11/12/2025
55-64 Years	Wisconsin	52.56%	NA	368294	1/1/2025 - 11/12/2025
55-64 Years	New Jersey	46.82%	NA	445753	1/1/2025 - 11/12/2025
55-64 Years	Minnesota	51.53%	NA	280136	1/1/2025 - 11/12/2025
55-64 Years	Connecticut	47.37%	NA	360657	1/1/2025 - 11/12/2025
55-64 Years	North Dakota	52.47%	NA	66654	1/1/2025 - 11/12/2025
55-64 Years	Georgia	50.22%	NA	408390	1/1/2025 - 11/12/2025
55-64 Years	New York	46.51%	NA	875156	1/1/2025 - 11/12/2025
55-64 Years	Texas	51.13%	NA	1259574	1/1/2025 - 11/12/2025
55-64 Years	Maine	47.52%	NA	99160	1/1/2025 - 11/12/2025
55-64 Years	New Mexico	44.43%	NA	34263	1/1/2025 - 11/12/2025
55-64 Years	Florida	46.46%	NA	1045151	1/1/2025 - 11/12/2025
55-64 Years	Wyoming	47.16%	NA	20721	1/1/2025 - 11/12/2025
55-64 Years	Idaho	46.24%	NA	105725	1/1/2025 - 11/12/2025
55-64 Years	New Hampshire	45.93%	NA	80075	1/1/2025 - 11/12/2025
55-64 Years	Montana	44.85%	NA	46385	1/1/2025 - 11/12/2025
55-64 Years	Arizona	43.50%	NA	181360	1/1/2025 - 11/12/2025
55-64 Years	Massachusetts	43.36%	NA	453625	1/1/2025 - 11/12/2025
55-64 Years	South Dakota	46.86%	NA	44513	1/1/2025 - 11/12/2025
55-64 Years	District of Columbia	41.78%	NA	13369	1/1/2025 - 11/12/2025
55-64 Years	Oregon	43.99%	NA	207008	1/1/2025 - 11/12/2025
55-64 Years	Vermont	38.73%	NA	56292	1/1/2025 - 11/12/2025
55-64 Years	Alaska	40.31%	NA	1290	1/1/2025 - 11/12/2025
55-64 Years	California	37.63%	NA	969295	1/1/2025 - 11/12/2025
55-64 Years	Colorado	38.92%	NA	295461	1/1/2025 - 11/12/2025
