age	state	a1c_6.5+_(%)	dm_(%)	n_all_patients	Year
18-24 Years	New Mexico	1.01%	1.93%	11740	1/1/2025 - 10/30/2025
18-24 Years	Massachusetts	1.39%	2.03%	220415	1/1/2025 - 10/30/2025
18-24 Years	Nebraska	1.34%	1.99%	56579	1/1/2025 - 10/30/2025
18-24 Years	Louisiana	1.15%	1.96%	147627	1/1/2025 - 10/30/2025
18-24 Years	Idaho	1.50%	2.09%	58988	1/1/2025 - 10/30/2025
18-24 Years	Tennessee	1.46%	2.62%	77121	1/1/2025 - 10/30/2025
18-24 Years	New Hampshire	1.69%	2.16%	31199	1/1/2025 - 10/30/2025
18-24 Years	Georgia	1.26%	2.62%	183583	1/1/2025 - 10/30/2025
18-24 Years	Arizona	0.97%	1.45%	91756	1/1/2025 - 10/30/2025
18-24 Years	Arkansas	2.01%	2.97%	53393	1/1/2025 - 10/30/2025
18-24 Years	Connecticut	1.27%	2.07%	155917	1/1/2025 - 10/30/2025
18-24 Years	Wyoming	1.39%	2.16%	9435	1/1/2025 - 10/30/2025
18-24 Years	Florida	1.35%	2.31%	437047	1/1/2025 - 10/30/2025
18-24 Years	Oregon	1.29%	1.95%	125776	1/1/2025 - 10/30/2025
18-24 Years	Texas	1.37%	2.32%	627573	1/1/2025 - 10/30/2025
18-24 Years	Washington	0.90%	1.40%	91175	1/1/2025 - 10/30/2025
18-24 Years	California	0.94%	1.79%	537574	1/1/2025 - 10/30/2025
18-24 Years	Montana	1.17%	1.79%	25276	1/1/2025 - 10/30/2025
18-24 Years	Puerto Rico	0.76%	2.41%	6320	1/1/2025 - 10/30/2025
18-24 Years	South Dakota	1.19%	1.69%	30120	1/1/2025 - 10/30/2025
18-24 Years	Alaska	NA	1.37%	1166	1/1/2025 - 10/30/2025
18-24 Years	North Dakota	1.17%	1.69%	45064	1/1/2025 - 10/30/2025
18-24 Years	Nevada	0.87%	1.51%	54121	1/1/2025 - 10/30/2025
18-24 Years	District of Columbia	1.02%	1.81%	6470	1/1/2025 - 10/30/2025
18-24 Years	Colorado	1.12%	1.85%	170546	1/1/2025 - 10/30/2025
18-24 Years	Vermont	1.35%	1.99%	20495	1/1/2025 - 10/30/2025
18-24 Years	Armed Forces Pacific	NA	NA	22	1/1/2025 - 10/30/2025
18-24 Years	Utah	1.02%	2.11%	58440	1/1/2025 - 10/30/2025
18-24 Years	Armed Forces Africa	NA	NA	27	1/1/2025 - 10/30/2025
18-24 Years	None of the above	1.01%	1.93%	101068	1/1/2025 - 10/30/2025
18-24 Years	Total	1.30%	2.08%	7850394	1/1/2025 - 10/30/2025
25-34 Years	Marshall Islands	NA	NA	5	1/1/2025 - 10/30/2025
25-34 Years	Federated States of Micronesia	NA	NA	5	1/1/2025 - 10/30/2025
25-34 Years	American Samoa, South Pacific	NA	NA	5	1/1/2025 - 10/30/2025
25-34 Years	Northern Mariana Islands	NA	NA	5	1/1/2025 - 10/30/2025
25-34 Years	Virgin Islands	NA	NA	97	1/1/2025 - 10/30/2025
