age	geography	time	diabetes_a1c_6_5	diabetes_dx_ccw	obesity_bmi	obesity_dx_ccw	n_patients_chronic
45-55 Years	54	2018-01-01	4.27	16.7	50.44	22.08	71258
45-55 Years	11	2018-01-01	3.94	8.74	NA	NA	2413
45-55 Years	00	2018-01-01	7.77	12.89	44.13	20.71	9674609
55-65 Years	01	2018-01-01	13.73	20.27	49.34	26.45	42807
55-65 Years	45	2018-01-01	13.51	20.52	46.03	22.28	221553
55-65 Years	39	2018-01-01	13.17	20.23	48.89	24.17	955396
55-65 Years	29	2018-01-01	12.21	20.82	48.85	20.1	92624
55-65 Years	21	2018-01-01	13.11	20.09	51.55	22.97	274226
55-65 Years	40	2018-01-01	13.22	20.86	45.41	18.82	94441
55-65 Years	26	2018-01-01	13.02	19.07	46.4	21.82	412219
55-65 Years	51	2018-01-01	12.32	18.65	44.37	18.92	465605
55-65 Years	18	2018-01-01	13.4	20.78	49.89	21.22	290613
55-65 Years	20	2018-01-01	11.95	19.25	47.77	21.35	84054
55-65 Years	37	2018-01-01	12.31	20	45.96	23.4	511625
55-65 Years	22	2018-01-01	12.64	21.63	47.35	23.88	205166
55-65 Years	23	2018-01-01	10.11	14.44	39.17	20.32	89526
55-65 Years	28	2018-01-01	11.96	20.66	46.62	15.06	153655
55-65 Years	04	2018-01-01	9.98	15.9	40.65	17.4	101332
55-65 Years	56	2018-01-01	10.27	16.51	43.54	17.33	15934
55-65 Years	24	2018-01-01	10.22	19.37	43.4	21.6	161377
55-65 Years	17	2018-01-01	11.99	15.42	44.12	16.05	555698
55-65 Years	27	2018-01-01	11.41	15.88	45.47	25.77	296043
55-65 Years	55	2018-01-01	12.09	16.62	47.86	21.52	356972
55-65 Years	15	2018-01-01	9.79	19.42	29.95	15.57	70208
55-65 Years	42	2018-01-01	9.83	17.31	44.32	20.23	756995
55-65 Years	36	2018-01-01	9.78	16.04	39.82	18.98	571083
55-65 Years	47	2018-01-01	10.27	19.49	45.59	14.76	111782
