age	geography	time	diabetes_a1c_6_5	diabetes_dx_ccw	obesity_bmi	obesity_dx_ccw	n_patients_chronic
Total	02	2019-01-01	6.22	9.31	29.35	14.71	10217
Total	47	2019-01-01	6.18	12.91	37.19	11.94	698029
Total	10	2019-01-01	6.15	10.51	30.63	15.37	313495
Total	13	2019-01-01	6.08	10.6	29.13	15.23	1823572
Total	05	2019-01-01	5.99	12.44	35.48	15.04	714682
Total	25	2019-01-01	5.94	10.68	29.98	19.47	1873194
Total	16	2019-01-01	5.93	9.61	29.59	14.11	550023
Total	19	2019-01-01	5.93	9.67	34.66	18.49	1239675
Total	46	2019-01-01	5.89	8.36	29.56	16.95	324472
Total	35	2019-01-01	5.74	13.17	32.16	13.31	158254
Total	33	2019-01-01	5.73	9.03	31.5	13.03	441563
Total	41	2019-01-01	5.69	9.62	28.76	13.98	1412827
Total	34	2019-01-01	5.67	11.97	32.76	12.86	1221467
Total	38	2019-01-01	5.58	9.24	33.83	21.82	455231
Total	48	2019-01-01	5.46	11.03	29.83	17.16	6415103
Total	53	2019-01-01	5.33	8.87	27.31	10.21	959456
Total	30	2019-01-01	5.22	7.54	26.7	10.38	163013
Total	12	2019-01-01	4.59	11.02	28.92	15.47	2518021
Total	50	2019-01-01	4.52	8.52	28.44	12.26	255504
Total	32	2019-01-01	4.52	9.5	28.96	14.4	515413
Total	06	2019-01-01	4.51	10.8	26.65	12.44	3565819
Total	08	2019-01-01	4.5	7.63	22.97	10.97	1624427
Total	49	2019-01-01	4.4	8.13	24.06	8.98	427693
Total	09	2019-01-01	4.26	10.9	31.44	16.79	1847365
Total	11	2019-01-01	2.76	5.66	NA	NA	24087
Total	00	2019-01-01	6.47	11.33	32.73	15.99	76976766
<18 Years	01	2020-01-01	0.68	1	6.77	3.14	24669
<18 Years	54	2020-01-01	0.88	1.19	8.17	4.88	99682
<18 Years	45	2020-01-01	0.57	0.72	6.94	8.47	333102
<18 Years	18	2020-01-01	0.25	0.4	6.39	4.68	395894
<18 Years	29	2020-01-01	0.22	0.43	7.28	2.64	66620
<18 Years	39	2020-01-01	0.36	0.51	6.19	6.12	949651
<18 Years	40	2020-01-01	0.22	0.43	6.17	3.15	113530
<18 Years	21	2020-01-01	0.5	0.66	7.42	4.15	313220
<18 Years	20	2020-01-01	0.45	0.62	7.07	7.29	78623
<18 Years	28	2020-01-01	0.62	0.78	7.73	3.12	219020
<18 Years	37	2020-01-01	0.45	0.65	5.58	5.2	715595
<18 Years	51	2020-01-01	0.45	0.73	5.62	3.54	379368
<18 Years	26	2020-01-01	0.48	0.6	5.55	3.52	607268
<18 Years	24	2020-01-01	0.56	0.79	5.3	4.45	138386
<18 Years	23	2020-01-01	0.57	0.66	6.17	4.33	88659
<18 Years	22	2020-01-01	0.45	0.56	6.47	4.65	274941
<18 Years	56	2020-01-01	0.45	0.75	3.67	2.72	20886
<18 Years	10	2020-01-01	0.6	0.68	6.87	9.5	100842
<18 Years	17	2020-01-01	0.44	0.6	5.8	5.79	860136
<18 Years	04	2020-01-01	0.54	0.74	4.51	4.39	59310
<18 Years	31	2020-01-01	0.25	0.51	5.92	1.83	63568
<18 Years	27	2020-01-01	0.34	0.49	4.6	5.31	388694
<18 Years	44	2020-01-01	0.64	0.78	4.38	6.9	73648
<18 Years	15	2020-01-01	0.46	0.54	4.25	3.24	64874
<18 Years	42	2020-01-01	0.21	0.41	5.86	6.15	694807
<18 Years	13	2020-01-01	0.48	0.89	5.14	4.53	496618
<18 Years	36	2020-01-01	0.38	0.53	5.4	7.82	598858
<18 Years	55	2020-01-01	0.43	0.55	5.07	3.52	607844
<18 Years	35	2020-01-01	0.15	0.42	5.05	2.34	13774
<18 Years	34	2020-01-01	0.41	0.54	5.8	4.33	138981
<18 Years	47	2020-01-01	0.54	0.95	6.95	3.24	100803
<18 Years	16	2020-01-01	0.65	0.77	4.8	3.67	119595
<18 Years	02	2020-01-01	NA	NA	2.99	3.15	1904
<18 Years	25	2020-01-01	0.35	0.51	5.56	11.53	290267
<18 Years	19	2020-01-01	0.57	0.65	5.81	4	289855
<18 Years	05	2020-01-01	0.79	0.93	7.04	4.77	169269
<18 Years	33	2020-01-01	0.7	0.8	5.72	4.39	79255
<18 Years	46	2020-01-01	0.43	0.54	4.32	2.75	80993
<18 Years	41	2020-01-01	0.58	0.72	5.51	5.86	307214
<18 Years	38	2020-01-01	0.34	0.48	4.7	3.61	108491
<18 Years	53	2020-01-01	0.32	0.44	4.73	3.44	163711
<18 Years	48	2020-01-01	0.51	0.66	5.5	5.24	1833257
<18 Years	30	2020-01-01	0.34	0.51	3.48	2.4	31477
<18 Years	50	2020-01-01	0.79	0.92	4.82	3.4	39784
<18 Years	12	2020-01-01	0.78	1.07	5.38	4.5	550891
<18 Years	08	2020-01-01	0.39	0.62	3.88	4.46	406283
<18 Years	09	2020-01-01	0.58	0.74	6	8.66	323272
<18 Years	06	2020-01-01	0.35	0.67	5.27	7.7	861561
<18 Years	49	2020-01-01	0.08	0.41	3.01	2.7	104352
<18 Years	32	2020-01-01	0.4	0.6	4.57	4.54	98967
<18 Years	11	2020-01-01	NA	1.29	NA	NA	1165
<18 Years	00	2020-01-01	0.45	0.64	5.63	5.37	15134927
18-25 Years	01	2020-01-01	1.61	2.79	28.04	11.47	13141
18-25 Years	54	2020-01-01	1.75	2.71	32.8	12.06	43826
18-25 Years	45	2020-01-01	1.52	2.19	28.16	11.26	124809
18-25 Years	18	2020-01-01	1.27	1.86	30.66	10.04	157986
18-25 Years	29	2020-01-01	1.18	1.98	27.83	9.56	41872
18-25 Years	39	2020-01-01	1.16	1.91	28.48	12.33	475737
18-25 Years	40	2020-01-01	0.93	1.79	30.72	8.08	47865
18-25 Years	21	2020-01-01	1.31	2.05	32.26	11.58	133321
18-25 Years	20	2020-01-01	1.29	2.18	26.18	9.35	39392
18-25 Years	28	2020-01-01	1.41	2.13	32.55	7.9	86346
18-25 Years	37	2020-01-01	1.13	1.87	26.33	10.81	313620
18-25 Years	51	2020-01-01	1.09	1.87	24.79	8.4	204985
18-25 Years	26	2020-01-01	1.15	1.7	24.65	9.42	281742
18-25 Years	24	2020-01-01	0.97	1.7	21.32	10.11	96173
18-25 Years	23	2020-01-01	1.59	2.1	23.9	10.2	35158
18-25 Years	22	2020-01-01	1.05	1.74	27.8	9.31	110842
18-25 Years	56	2020-01-01	1.3	2.03	22.51	6.25	6754
18-25 Years	10	2020-01-01	1.72	2.36	30.32	13.7	21286
18-25 Years	17	2020-01-01	1.12	1.74	24.82	9.54	319533
18-25 Years	04	2020-01-01	0.95	1.65	21.75	8.05	40692
18-25 Years	31	2020-01-01	1.41	2	24.7	5.95	43257
18-25 Years	27	2020-01-01	1.12	1.57	22.38	10.12	159662
18-25 Years	44	2020-01-01	1.22	1.95	14.73	8.89	34280
18-25 Years	15	2020-01-01	1.11	1.63	20.59	8.25	24861
18-25 Years	42	2020-01-01	0.83	1.59	24.73	10.16	375172
18-25 Years	13	2020-01-01	1.09	2.25	24.82	8.77	143555
18-25 Years	36	2020-01-01	1.03	1.6	20.81	9.9	284482
18-25 Years	55	2020-01-01	1.15	1.55	23.68	7.77	211662
18-25 Years	35	2020-01-01	1.02	2.09	28.35	10.5	10690
18-25 Years	34	2020-01-01	0.9	1.59	21.52	7.56	91570
18-25 Years	47	2020-01-01	1.18	2.3	30.77	7.6	55165
18-25 Years	16	2020-01-01	1.53	2.01	22.63	7.98	44027
18-25 Years	02	2020-01-01	NA	NA	18.05	5.98	820
18-25 Years	25	2020-01-01	0.88	1.43	19.3	12.59	157066
18-25 Years	19	2020-01-01	1.33	1.78	26.65	9.95	112775
18-25 Years	05	2020-01-01	1.52	2.48	32.17	11.38	55693
18-25 Years	33	2020-01-01	1.51	1.86	21.81	8.23	31558
18-25 Years	46	2020-01-01	1.19	1.45	21.29	8.3	30007
18-25 Years	41	2020-01-01	1.18	1.72	22.28	9.35	120349
18-25 Years	38	2020-01-01	1.04	1.51	24.7	11.51	42464
18-25 Years	53	2020-01-01	0.95	1.46	20.52	6.35	79117
18-25 Years	48	2020-01-01	1.21	2.08	27.31	12.89	477562
18-25 Years	30	2020-01-01	1.04	1.33	14.95	4.76	17032
18-25 Years	50	2020-01-01	1.43	1.93	17.4	7.73	18591
18-25 Years	12	2020-01-01	1.44	2.59	21.92	9.67	183130
18-25 Years	08	2020-01-01	0.98	1.63	18.18	7.13	144576
18-25 Years	09	2020-01-01	1.16	1.88	20.91	12.21	146811
18-25 Years	06	2020-01-01	0.87	1.71	20.03	8.04	346358
18-25 Years	49	2020-01-01	1.14	1.91	17.29	5.21	42126
18-25 Years	32	2020-01-01	0.52	0.99	16.45	4.37	70717
18-25 Years	11	2020-01-01	0.81	1.22	NA	NA	5423
18-25 Years	00	2020-01-01	1.12	1.83	24.52	9.85	6270348
25-35 Years	01	2020-01-01	2.41	4.11	40.13	19.89	21728
25-35 Years	54	2020-01-01	2.35	4.35	44.55	19.07	61864
25-35 Years	45	2020-01-01	2.41	3.69	40.1	17.7	190166
25-35 Years	18	2020-01-01	2.34	3.56	43.34	16.98	240001
25-35 Years	29	2020-01-01	2.26	3.76	40.48	16.6	67649
25-35 Years	39	2020-01-01	2.12	3.54	41.6	20.13	735170
25-35 Years	40	2020-01-01	2.04	3.66	42.41	13.6	73602
25-35 Years	21	2020-01-01	2.06	3.4	44.83	18.58	204302
25-35 Years	20	2020-01-01	2.28	3.83	38.5	15.73	60390
25-35 Years	28	2020-01-01	2.24	3.71	43.79	12.96	127885
25-35 Years	37	2020-01-01	2.01	3.38	38.91	18.15	492912
25-35 Years	51	2020-01-01	1.9	3.23	38.06	14.82	344425
25-35 Years	26	2020-01-01	1.86	2.92	36.54	16.38	423207
25-35 Years	24	2020-01-01	1.68	3.27	35.01	18.77	158327
25-35 Years	23	2020-01-01	1.86	2.86	32.97	15.37	57217
25-35 Years	22	2020-01-01	1.75	3.27	39.84	15.63	168258
25-35 Years	56	2020-01-01	2.2	3.46	34.86	11.09	10193
25-35 Years	10	2020-01-01	2.08	3.51	43.77	18.91	25802
25-35 Years	17	2020-01-01	1.88	2.97	36.85	15.45	471647
25-35 Years	04	2020-01-01	1.83	3.1	31.97	13.52	73467
25-35 Years	31	2020-01-01	2.3	3.62	39.67	12.71	60789
25-35 Years	27	2020-01-01	1.86	2.74	34.61	16.75	253592
25-35 Years	44	2020-01-01	1.56	3.22	23.12	13.86	51621
25-35 Years	15	2020-01-01	1.85	3.37	29.77	13.95	45297
25-35 Years	42	2020-01-01	1.44	2.78	36.36	16.79	616423
25-35 Years	13	2020-01-01	1.91	3.48	38.25	14.87	191827
25-35 Years	36	2020-01-01	1.51	2.7	30.83	14.73	459805
25-35 Years	55	2020-01-01	1.73	2.56	36.7	14.45	308962
25-35 Years	35	2020-01-01	1.88	4.01	38.66	15.54	19856
25-35 Years	34	2020-01-01	1.39	2.63	33.32	13.02	159796
25-35 Years	47	2020-01-01	1.69	3.45	41.52	12.17	85292
25-35 Years	16	2020-01-01	1.91	3.05	33.96	13.33	66630
25-35 Years	02	2020-01-01	1.66	2.78	31.98	13.02	1329
25-35 Years	25	2020-01-01	1.31	2.47	28.91	17.87	256452
25-35 Years	19	2020-01-01	1.78	2.9	40.51	18.17	156769
25-35 Years	05	2020-01-01	1.89	3.87	44.05	17.98	82049
25-35 Years	33	2020-01-01	1.65	2.53	32.9	13.55	47139
25-35 Years	46	2020-01-01	1.79	2.44	32.76	15.37	41720
25-35 Years	41	2020-01-01	1.59	2.75	29.94	13.31	197127
25-35 Years	38	2020-01-01	1.7	2.56	37.14	20.32	66362
25-35 Years	53	2020-01-01	1.59	2.51	28.85	10.18	138756
25-35 Years	48	2020-01-01	1.71	3.68	38.28	19.43	730858
25-35 Years	30	2020-01-01	1.64	2.23	25.2	9.94	23646
25-35 Years	50	2020-01-01	1.43	2.37	26.33	12.81	31989
25-35 Years	12	2020-01-01	1.53	3.51	34.19	15.94	261234
25-35 Years	08	2020-01-01	1.38	2.47	25.88	10.24	232728
25-35 Years	09	2020-01-01	1.28	2.99	32.49	16.01	222413
25-35 Years	06	2020-01-01	1.28	2.91	27.73	11.03	580230
25-35 Years	49	2020-01-01	1.83	3.1	27.77	9.89	63906
25-35 Years	32	2020-01-01	0.68	1.69	23.73	7.73	118664
25-35 Years	11	2020-01-01	0.82	1.54	NA	NA	7812
25-35 Years	00	2020-01-01	1.74	3.1	35.75	15.8	9776308
35-45 Years	01	2020-01-01	5.18	8.51	48.56	26.25	27360
35-45 Years	54	2020-01-01	5.56	9.75	50.49	23.99	66984
35-45 Years	45	2020-01-01	5.72	8.42	46.19	22.69	194349
35-45 Years	18	2020-01-01	5.88	8.45	49	22.07	248934
35-45 Years	29	2020-01-01	5.06	8.19	47.45	21.1	72279
35-45 Years	39	2020-01-01	5.16	8.03	47.46	25.15	750071
35-45 Years	40	2020-01-01	5.29	8.66	48.1	19.13	78739
35-45 Years	21	2020-01-01	5.32	8.03	50.19	23.17	220984
35-45 Years	20	2020-01-01	4.82	7.77	44.12	20.62	66554
35-45 Years	28	2020-01-01	5.67	8.88	49.89	17.15	140505
35-45 Years	37	2020-01-01	4.97	7.84	44.65	23.29	509692
35-45 Years	51	2020-01-01	4.45	7.04	43	18.81	386444
35-45 Years	26	2020-01-01	4.53	6.84	41.91	21.12	404695
35-45 Years	24	2020-01-01	4.11	7.29	42.42	24	153928
35-45 Years	23	2020-01-01	4.22	6.02	39.07	20.05	59704
35-45 Years	22	2020-01-01	4.52	7.88	47.17	22.27	181531
35-45 Years	56	2020-01-01	4.95	7.48	40.81	15.66	11437
35-45 Years	10	2020-01-01	4.84	7.48	48.81	21.17	26111
35-45 Years	17	2020-01-01	4.77	7.06	43.36	19.63	482349
35-45 Years	04	2020-01-01	4.42	6.81	37.71	18	76149
35-45 Years	31	2020-01-01	4.64	7.31	44.59	16.57	60142
35-45 Years	27	2020-01-01	4.31	6.09	41.05	22.45	256664
35-45 Years	44	2020-01-01	3.79	7.03	29.16	18.51	49773
35-45 Years	15	2020-01-01	4.38	7.71	31.55	15.39	51439
35-45 Years	42	2020-01-01	3.48	6.25	42.26	20.45	607853
35-45 Years	13	2020-01-01	4.82	8.18	44.61	21	199150
35-45 Years	36	2020-01-01	3.62	5.94	36.68	18.18	453912
35-45 Years	55	2020-01-01	4.33	6.03	43.1	18.57	310077
35-45 Years	35	2020-01-01	4.53	9.4	43.03	17.69	18884
35-45 Years	34	2020-01-01	3.07	5.77	39.05	16.44	171865
35-45 Years	47	2020-01-01	4.16	8.03	47.13	16.4	86528
35-45 Years	16	2020-01-01	3.82	6.01	37.78	16.73	72059
35-45 Years	02	2020-01-01	4.29	5.94	39.11	18.4	1212
35-45 Years	25	2020-01-01	3.24	5.84	35.78	23.79	245036
35-45 Years	19	2020-01-01	4.18	6.35	46.2	23.16	157213
35-45 Years	05	2020-01-01	4.66	9.06	48.79	22.45	85590
35-45 Years	33	2020-01-01	3.45	5.18	39.13	15.93	48442
35-45 Years	46	2020-01-01	3.83	5.13	37.79	20.83	42463
35-45 Years	41	2020-01-01	3.84	6.32	34.91	16.16	192645
35-45 Years	38	2020-01-01	3.98	6.07	43.56	27.71	61679
35-45 Years	53	2020-01-01	3.75	5.76	33.78	12.68	134319
35-45 Years	48	2020-01-01	4.3	8.73	43.51	24.08	791383
35-45 Years	30	2020-01-01	3.07	4	30.21	12.88	23155
35-45 Years	50	2020-01-01	2.6	4.56	30.71	15.17	35532
35-45 Years	12	2020-01-01	3.08	7.17	39.09	20.49	271437
35-45 Years	08	2020-01-01	3.12	5.27	31.48	13.92	215444
35-45 Years	09	2020-01-01	2.61	6.26	38.65	19.91	228963
35-45 Years	06	2020-01-01	2.99	6.83	32.49	14.06	565939
35-45 Years	49	2020-01-01	3.69	6.24	33.57	12.34	62732
35-45 Years	32	2020-01-01	1.81	4.16	27.51	11.01	102791
35-45 Years	11	2020-01-01	1.87	3.62	NA	NA	4860
35-45 Years	00	2020-01-01	4.2	7.11	41.66	20.27	9915000
45-55 Years	01	2020-01-01	9.64	15.24	52.66	28.54	36829
45-55 Years	54	2020-01-01	11.02	18.31	55.26	27.75	81040
45-55 Years	45	2020-01-01	11.15	15.78	50.35	26.21	227431
45-55 Years	18	2020-01-01	11.66	16.21	53.28	25.46	266810
45-55 Years	29	2020-01-01	9.97	15.34	52.36	24.71	79883
45-55 Years	39	2020-01-01	10.3	15.18	51.64	28.96	823269
45-55 Years	40	2020-01-01	10.53	16.38	52.38	23.55	86770
45-55 Years	21	2020-01-01	10.49	15.12	54.3	26.87	250256
45-55 Years	20	2020-01-01	9.31	14.13	48.51	23.82	68827
45-55 Years	28	2020-01-01	10.49	16.01	52.72	19.72	160492
45-55 Years	37	2020-01-01	9.98	14.94	49.03	27.12	588964
45-55 Years	51	2020-01-01	8.81	13.4	45.83	21.67	438825
45-55 Years	26	2020-01-01	9.33	13.44	45.65	24.48	447977
45-55 Years	24	2020-01-01	8.49	14.13	46.09	26.1	172107
45-55 Years	23	2020-01-01	8.15	11.03	43.25	23.8	71308
45-55 Years	22	2020-01-01	9.29	15.48	51.16	26.71	186588
45-55 Years	56	2020-01-01	8.84	13.07	46.3	19.28	11854
45-55 Years	10	2020-01-01	10.43	14.68	51.99	23.12	30148
45-55 Years	17	2020-01-01	9.46	13.56	46.7	21.94	523689
45-55 Years	04	2020-01-01	8.24	11.91	40.91	20.16	88407
45-55 Years	31	2020-01-01	9.18	13.87	48.58	19.53	59592
45-55 Years	27	2020-01-01	8.96	11.91	45.65	27.4	246713
45-55 Years	44	2020-01-01	7.84	13.54	32.74	21.26	59793
45-55 Years	15	2020-01-01	7.99	14.37	31.8	16.45	59926
45-55 Years	42	2020-01-01	7.39	12.58	46.4	23.43	684406
45-55 Years	13	2020-01-01	9.53	15.28	48.1	25.05	230952
45-55 Years	36	2020-01-01	7.28	11.56	40.1	20.37	530860
45-55 Years	55	2020-01-01	8.8	11.97	47.64	22.18	318536
45-55 Years	35	2020-01-01	7.81	15.78	44.78	19.8	20479
45-55 Years	34	2020-01-01	6.39	11.59	42.63	18.88	206997
45-55 Years	47	2020-01-01	7.73	14.55	49.69	18.59	107017
45-55 Years	16	2020-01-01	7.2	11.02	41.15	19.5	73522
45-55 Years	02	2020-01-01	8.93	12.64	41.03	22.49	1187
45-55 Years	25	2020-01-01	6.93	11.68	39.77	26.99	270409
45-55 Years	19	2020-01-01	8.7	12.82	50.39	27.49	149441
45-55 Years	05	2020-01-01	8.46	16.17	50.87	24.4	95009
45-55 Years	33	2020-01-01	6.67	9.75	42.79	18.19	60995
45-55 Years	46	2020-01-01	8.11	10.52	42.44	25.17	38829
45-55 Years	41	2020-01-01	8.11	12.79	39.2	19.06	177735
45-55 Years	38	2020-01-01	8	12.14	48.55	33.37	53332
45-55 Years	53	2020-01-01	7.36	10.92	36.44	14.63	130248
45-55 Years	48	2020-01-01	8.49	16.44	46.92	27.32	841253
45-55 Years	30	2020-01-01	6.56	8.88	36.57	16.07	21230
45-55 Years	50	2020-01-01	5.11	8.51	34.88	17.4	41620
45-55 Years	12	2020-01-01	5.76	12.93	40.75	23.03	331063
45-55 Years	08	2020-01-01	6.45	10.16	34.39	16.58	199592
45-55 Years	09	2020-01-01	5.1	11.74	42.05	22.46	272017
45-55 Years	06	2020-01-01	5.85	13.42	34.88	15.95	580372
45-55 Years	49	2020-01-01	6.99	11.6	35.36	13.39	52572
45-55 Years	32	2020-01-01	3.92	8.61	30.3	13.87	100799
45-55 Years	11	2020-01-01	4.1	7.66	NA	NA	3340
45-55 Years	00	2020-01-01	8.43	13.67	45.41	23.42	10805864
55-65 Years	01	2020-01-01	12.82	20.71	49.85	27.7	48285
55-65 Years	54	2020-01-01	14.89	24.74	52.84	26.06	96433
55-65 Years	45	2020-01-01	14.99	21.72	47.77	25.57	270291
55-65 Years	18	2020-01-01	15.79	22.39	52.07	25.4	310790
55-65 Years	29	2020-01-01	13.43	21.26	51.21	24.57	101659
55-65 Years	39	2020-01-01	14.4	21.43	50.61	28.92	982936
55-65 Years	40	2020-01-01	14.24	22.62	50.62	23.91	104450
55-65 Years	21	2020-01-01	14.5	21.03	52.79	26.62	292071
55-65 Years	20	2020-01-01	13.21	20.12	48.83	24.78	91149
55-65 Years	28	2020-01-01	14.1	22.07	49.48	18.9	192312
55-65 Years	37	2020-01-01	13.99	21.58	47.99	26.93	651839
55-65 Years	51	2020-01-01	12.7	19.65	45.65	21.82	521504
55-65 Years	26	2020-01-01	13.17	19.16	44.59	24.77	541983
55-65 Years	24	2020-01-01	12.12	20.35	45.13	25.81	210778
55-65 Years	23	2020-01-01	11.13	15.35	42.24	23.5	98831
55-65 Years	22	2020-01-01	13.1	21.99	49.22	26.72	223121
55-65 Years	56	2020-01-01	11.54	17.15	44.38	18.81	17340
55-65 Years	10	2020-01-01	13.81	20.02	49.88	23.49	42933
55-65 Years	17	2020-01-01	12.95	19.22	46.29	21.53	621830
55-65 Years	04	2020-01-01	10.58	15.84	39.65	19.57	110705
55-65 Years	31	2020-01-01	11.93	18.87	48.02	19.28	76948
55-65 Years	27	2020-01-01	12.49	16.75	46.25	28.85	303770
55-65 Years	44	2020-01-01	10.93	18.72	33.9	21.64	77619
55-65 Years	15	2020-01-01	10.66	19.75	30.38	15.8	71798
55-65 Years	42	2020-01-01	10.81	18.47	46.2	23.48	844631
55-65 Years	13	2020-01-01	13.66	22.3	46.8	26.5	243749
55-65 Years	36	2020-01-01	10.63	17.28	40.44	20.96	665819
55-65 Years	55	2020-01-01	12.23	16.85	47.31	23.12	386741
55-65 Years	35	2020-01-01	9.79	19.83	40.69	18.43	29860
55-65 Years	34	2020-01-01	9.72	18.01	43.29	19.03	254305
55-65 Years	47	2020-01-01	10.42	20.19	46.53	17.4	126958
55-65 Years	16	2020-01-01	10.07	15.33	41.54	21.4	86666
55-65 Years	02	2020-01-01	10.96	16.04	39.32	20.62	1615
55-65 Years	25	2020-01-01	10.41	17.77	40.84	27.21	307370
55-65 Years	19	2020-01-01	11.76	18.04	49.44	27.83	176461
55-65 Years	05	2020-01-01	11.11	21.89	48.36	22.97	112948
55-65 Years	33	2020-01-01	9.21	13.74	41.57	18.64	82715
55-65 Years	46	2020-01-01	10.87	14.52	42.02	25.36	48577
55-65 Years	41	2020-01-01	11.33	17.99	39.81	19.89	192689
55-65 Years	38	2020-01-01	11.05	17.22	48.13	33.59	64599
55-65 Years	53	2020-01-01	10.19	15.5	36.26	14.75	148315
55-65 Years	48	2020-01-01	11.63	23.1	45.94	27.43	916505
55-65 Years	30	2020-01-01	9.54	12.73	37.66	15.4	26463
55-65 Years	50	2020-01-01	7.01	12.09	35.06	16.96	56590
55-65 Years	12	2020-01-01	7.87	18.21	39.36	23.13	436505
55-65 Years	08	2020-01-01	9.43	14.82	34.66	17.73	215807
55-65 Years	09	2020-01-01	7.5	17.09	42.8	22.95	331443
55-65 Years	06	2020-01-01	8.38	19.42	35.31	16.3	649744
55-65 Years	49	2020-01-01	9.19	16.3	35.31	14.05	53535
55-65 Years	32	2020-01-01	6.77	14.36	32.08	16.98	98977
55-65 Years	11	2020-01-01	6.49	13.13	NA	NA	2528
55-65 Years	00	2020-01-01	11.8	19.48	44.85	23.59	12778702
65+ Years	01	2020-01-01	14.43	25.48	40.69	28.11	76148
65+ Years	54	2020-01-01	16.77	30.89	44.92	20.93	142209
65+ Years	45	2020-01-01	17.37	27.13	40.31	23.39	405735
65+ Years	18	2020-01-01	18.41	28.45	46.51	22.14	430214
65+ Years	29	2020-01-01	15.28	26.43	44.31	21.28	164870
65+ Years	39	2020-01-01	17.06	27.87	45.59	25.58	1380705
65+ Years	40	2020-01-01	16.33	28.04	43.52	21.76	160099
65+ Years	21	2020-01-01	17.06	26.79	45.36	23.09	398859
65+ Years	20	2020-01-01	15.37	24.81	43.78	21.19	146044
65+ Years	28	2020-01-01	15.55	27.08	40.74	15.36	286466
65+ Years	37	2020-01-01	16.16	27.7	41.85	22.19	947116
65+ Years	51	2020-01-01	14.61	25.52	39.32	18.01	773611
65+ Years	26	2020-01-01	16.75	26.52	41.13	22.79	763900
65+ Years	24	2020-01-01	14.82	26.85	39.42	22.38	298232
65+ Years	23	2020-01-01	14.12	20.67	37.43	20.95	158866
65+ Years	22	2020-01-01	16.06	29.01	43.28	24.9	316027
65+ Years	56	2020-01-01	14.02	22.52	40.41	16.99	28337
65+ Years	10	2020-01-01	17.49	27.28	43.99	21.15	66476
65+ Years	17	2020-01-01	15.08	25.2	41.6	17.84	919109
65+ Years	04	2020-01-01	11.34	19.61	33.24	14.8	183731
65+ Years	31	2020-01-01	12.23	22.45	43.08	15.15	129206
65+ Years	27	2020-01-01	15.87	22.93	43.16	26.29	439279
65+ Years	44	2020-01-01	13.72	26.66	32.95	20.73	110835
65+ Years	15	2020-01-01	12.05	25.51	23	11.52	118120
65+ Years	42	2020-01-01	13.79	25.03	41.95	20.13	1240337
65+ Years	13	2020-01-01	15.99	27.75	40.07	24.67	327711
65+ Years	36	2020-01-01	13.1	23.62	36.09	18.68	986498
65+ Years	55	2020-01-01	15.63	23.53	44.34	23.45	503174
65+ Years	35	2020-01-01	9.86	23.07	31.7	14.49	51497
65+ Years	34	2020-01-01	11.77	24.63	37.67	15.29	366227
65+ Years	47	2020-01-01	10.93	24.95	37.62	13.39	192107
65+ Years	16	2020-01-01	13.46	21.33	40.6	22.88	136669
65+ Years	02	2020-01-01	12.34	19.6	33.81	17.1	2245
65+ Years	25	2020-01-01	13.8	25.03	37.74	22.89	401105
65+ Years	19	2020-01-01	13.65	23.24	44.14	24.15	254990
65+ Years	05	2020-01-01	11.83	25.59	39.89	17.84	167304
65+ Years	33	2020-01-01	11.72	18.44	36.33	15.38	115376
65+ Years	46	2020-01-01	14.57	21.24	39.46	24.27	67430
65+ Years	41	2020-01-01	12.84	21.96	36.4	17.43	305953
65+ Years	38	2020-01-01	13.96	24.2	44.87	32.32	88884
65+ Years	53	2020-01-01	11.86	20.39	32.76	12.85	217290
65+ Years	48	2020-01-01	12.92	27.54	40.11	23.51	1227302
65+ Years	30	2020-01-01	12.1	17.28	35.03	13.24	37237
65+ Years	50	2020-01-01	8.68	16.39	31.91	14.04	86390
65+ Years	12	2020-01-01	8.56	21.89	32.09	18.74	667508
65+ Years	08	2020-01-01	12.1	19.93	32.01	16.33	291300
65+ Years	09	2020-01-01	9.86	23.49	39.21	19.69	459525
65+ Years	06	2020-01-01	9.43	23.02	29.26	13.29	903687
65+ Years	49	2020-01-01	9.85	21.41	30.72	11.42	78734
65+ Years	32	2020-01-01	9.64	20.11	31.86	19.36	113739
65+ Years	11	2020-01-01	6.65	15.16	NA	NA	3292
65+ Years	00	2020-01-01	14.04	25.16	39.64	20.46	18331017
Total	01	2020-01-01	9.16	15.52	40.53	23.42	242522
Total	54	2020-01-01	8.91	15.78	40.46	19.01	582953
Total	45	2020-01-01	8.79	13.24	35.58	19.25	1717384
Total	18	2020-01-01	8.78	13.04	38.62	17.78	2005881
Total	29	2020-01-01	8.58	14.35	40.16	18.11	604320
Total	39	2020-01-01	8.52	13.4	38.93	21.29	5976734
Total	40	2020-01-01	8.38	13.97	38.41	16.67	645441
Total	21	2020-01-01	8.38	12.72	40.22	18.97	1779297
Total	20	2020-01-01	8.28	13.16	37.46	18.09	548021
Total	28	2020-01-01	8.25	13.57	37.92	13.4	1185758
Total	37	2020-01-01	8.11	13.23	36.05	19.11	4178708
Total	51	2020-01-01	7.81	12.97	35.78	15.92	3057321
Total	26	2020-01-01	7.78	11.87	33.71	17.54	3363639
Total	24	2020-01-01	7.64	13.47	35.45	19.85	1206943
Total	23	2020-01-01	7.57	10.87	32.25	17.28	574112
Total	22	2020-01-01	7.44	13.03	36.58	18.58	1439612
