,Measures,Percentage with Has Any Encounters? preceded by Diagnosis (All): Obesity CCW definition within 24 months (%),,,,,,,,,,,Percentage with Has Any Encounters? preceded by BMI 30.0  or more within 24 months (%),,,,,,,,,,,Number of Patients,,,,,,,,,,
,,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026
Age at Encounter in Years,State of Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alaska,9.84%,10.67%,12.15%,13.03%,13.01%,12.81%,13.69%,13.61%,11.57%,8.31%,9.37%,30.71%,33.45%,32.97%,32.23%,31.64%,31.03%,34.60%,36.59%,32.22%,29.56%,33.72%,1270,1387,1629,1635,1691,1866,1636,1506,1642,1901,854
,Hawaii,10.79%,12.26%,13.38%,13.57%,13.27%,10.57%,12.97%,15.13%,16.72%,17.89%,20.50%,29.90%,30.91%,31.48%,31.35%,29.96%,24.91%,29.66%,31.96%,33.78%,35.95%,38.10%,43834,43948,43767,45021,45141,63235,55967,56302,59250,57302,28786
,District of Columbia,4.18%,4.54%,4.87%,5.67%,5.16%,4.36%,7.99%,9.77%,9.78%,11.38%,13.68%,17.69%,17.43%,17.43%,18.08%,16.08%,15.01%,23.15%,24.54%,24.09%,26.93%,29.07%,3685,4361,5256,6046,7828,20055,20778,21501,28854,26222,10802
,"Total: Total includes all data under the ≥ 25 and &lt; 35 Years bucket, including data from rows not currently displayed.",10.49%,12.35%,14.57%,16.21%,16.57%,16.41%,18.31%,19.76%,20.79%,22.35%,25.45%,33.27%,34.29%,35.61%,36.67%,36.05%,35.01%,37.66%,39.21%,40.35%,42.49%,45.65%,6972043,7975561,8828379,9630935,10615857,12954824,12954494,13883079,14892450,15145415,8680558
≥ 35 and < 45 Years,Puerto Rico,8.17%,14.03%,15.79%,17.89%,18.52%,18.61%,21.09%,46.60%,48.78%,50.27%,53.44%,28.79%,29.25%,35.00%,32.89%,33.86%,33.86%,34.86%,51.23%,51.99%,52.81%,56.07%,257,335,380,380,378,446,479,2674,6865,9207,5017
,Ohio,14.90%,19.48%,23.68%,27.99%,29.04%,28.27%,28.97%,31.63%,33.25%,35.12%,37.87%,43.86%,45.86%,47.11%,47.86%,48.35%,47.46%,48.23%,49.38%,50.77%,52.35%,55.00%,658283,684740,716036,739034,762436,856024,879411,970654,1029321,1044010,697820
,Kentucky,15.20%,19.76%,24.36%,26.57%,27.20%,26.48%,29.64%,33.17%,35.08%,36.62%,39.86%,44.97%,47.61%,50.10%,50.61%,50.76%,49.14%,51.16%,52.79%,53.43%,54.73%,57.51%,168758,191245,204469,212520,221680,268149,281731,293369,302860,302733,198724
,West Virginia,16.66%,23.08%,29.57%,34.01%,33.84%,29.99%,30.10%,29.94%,31.76%,32.47%,35.58%,46.36%,45.52%,47.46%,49.83%,50.87%,50.17%,51.63%,51.36%,53.80%,56.39%,60.60%,41697,47982,57318,63228,67370,76578,77593,91145,102594,106892,67132
,Pennsylvania,15.22%,18.00%,24.68%,27.59%,28.13%,26.63%,27.43%,28.88%,29.32%,30.20%,32.65%,38.78%,40.89%,42.26%,43.39%,43.81%,42.83%,44.41%,45.47%,46.00%,47.29%,49.74%,459156,559386,647799,707945,744733,913033,895588,943978,995455,1005490,602107
,Michigan,18.12%,20.11%,23.36%,25.60%,25.45%,26.97%,29.70%,30.67%,30.17%,32.02%,35.70%,44.03%,43.96%,45.04%,45.71%,42.84%,43.83%,46.28%,46.78%,45.98%,48.60%,52.13%,276831,312197,330728,336672,431144,483853,476867,502616,596380,647268,427765
,Mississippi,11.89%,13.43%,14.12%,15.42%,19.48%,22.29%,25.67%,29.14%,32.76%,35.97%,40.52%,49.05%,47.60%,46.45%,48.37%,49.74%,48.92%,51.54%,53.44%,54.28%,57.08%,61.47%,61569,68558,90473,114258,120991,144755,154719,160228,165229,166898,98119
,Alabama,18.69%,29.84%,34.96%,35.20%,35.44%,30.99%,35.46%,37.29%,38.86%,41.07%,46.21%,45.78%,47.11%,49.01%,49.03%,49.26%,46.62%,50.62%,50.92%,51.39%,53.46%,57.89%,22349,23753,24545,28588,31231,50765,55151,60622,61476,59934,32191
,North Carolina,15.53%,19.27%,22.72%,24.95%,26.49%,24.76%,27.99%,29.71%,29.96%,31.03%,34.46%,42.96%,44.24%,45.26%,46.17%,46.45%,43.65%,46.45%,47.87%,48.61%,50.40%,53.63%,418493,447806,476819,527055,545809,695006,726051,769401,854250,870091,556994
,Arkansas,15.19%,18.10%,22.13%,24.30%,26.90%,29.78%,32.63%,37.07%,39.23%,41.80%,45.00%,48.13%,50.11%,51.02%,50.45%,49.32%,49.13%,50.28%,51.99%,52.34%,54.18%,56.70%,56676,66833,71030,78537,86261,99886,94647,93479,96020,93804,61408
,Louisiana,18.15%,23.72%,24.04%,24.36%,24.06%,22.59%,24.91%,27.21%,29.76%,32.04%,35.63%,44.88%,45.48%,46.41%,48.04%,48.00%,45.70%,47.79%,49.12%,50.78%,52.63%,55.48%,140967,156909,178347,195088,210965,253015,266024,285487,304666,308942,196853
,North Dakota,17.41%,20.74%,23.32%,24.99%,24.57%,24.54%,25.83%,27.21%,28.19%,29.70%,32.14%,47.39%,47.48%,46.46%,46.03%,43.71%,42.38%,42.73%,43.80%,45.33%,46.79%,48.52%,48645,51787,54249,57808,62304,66744,68805,71290,78519,81786,54911
,Indiana,14.69%,19.33%,24.67%,26.85%,26.64%,24.81%,25.53%,27.59%,29.01%,30.98%,34.40%,44.58%,45.97%,47.13%,48.50%,49.14%,49.36%,50.73%,51.83%,52.37%,53.86%,56.93%,188440,208172,224870,241034,249289,286775,298365,306914,316408,316002,203020
,Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,11,17,18,16,12,16,18,21,19,14,10 or fewer
,Sonora,,,,,,,,,,,,,,,,,,,,,38.24%,,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,12,25,34,10 or fewer
,Rhode Island,10.18%,12.69%,15.32%,17.08%,17.96%,19.52%,19.67%,21.43%,23.72%,27.06%,30.79%,21.46%,25.43%,27.53%,28.71%,29.39%,29.11%,30.51%,35.11%,35.78%,38.73%,43.13%,41305,46928,48145,50574,49701,55739,63704,67475,80302,74415,44345
,Iowa,17.41%,20.78%,22.30%,22.15%,21.07%,20.98%,22.60%,24.27%,26.51%,30.49%,33.64%,43.31%,45.83%,46.64%,47.21%,46.75%,47.02%,48.99%,50.12%,51.12%,53.31%,55.80%,130238,135948,142515,149819,157676,173388,173039,183415,193714,205590,133541
,Delaware,9.45%,13.29%,19.83%,23.06%,24.05%,25.06%,28.31%,29.52%,30.56%,31.10%,31.84%,35.19%,42.00%,45.97%,48.48%,49.11%,48.53%,51.48%,52.87%,54.09%,55.43%,55.98%,12088,18380,21497,24367,26553,32600,34173,38699,40978,42276,25781
,South Carolina,12.60%,15.75%,19.68%,21.82%,22.97%,21.00%,22.77%,24.12%,25.49%,26.36%,29.03%,39.70%,43.04%,45.43%,46.56%,46.69%,43.72%,46.29%,48.53%,50.42%,51.32%,53.71%,124326,155840,168374,192018,207510,281814,326189,367217,394824,402182,271137
,Massachusetts,16.13%,16.38%,17.66%,21.10%,22.37%,22.07%,23.28%,24.51%,25.58%,27.23%,31.15%,32.78%,32.08%,33.99%,36.59%,36.20%,34.67%,35.86%,38.16%,39.79%,41.17%,44.04%,154276,190198,227942,239882,247169,285273,308413,347872,389815,408009,262242
,Maryland,13.97%,16.93%,20.19%,22.98%,23.52%,20.86%,25.38%,26.68%,27.10%,28.42%,32.88%,39.85%,41.76%,42.29%,43.90%,42.60%,37.60%,44.74%,46.46%,47.24%,49.19%,52.94%,73715,93423,112865,136829,155250,213658,197121,205647,216093,221425,125583
,Tennessee,11.64%,12.80%,15.45%,18.09%,20.63%,22.75%,25.02%,27.36%,27.72%,29.38%,33.94%,47.26%,44.41%,46.72%,48.45%,47.51%,45.79%,46.89%,46.97%,45.90%,50.31%,55.45%,52134,67165,77372,82151,87511,104607,110484,118056,135439,158390,92676
,Wisconsin,14.84%,15.97%,17.03%,18.03%,18.11%,18.71%,21.01%,22.62%,24.39%,26.85%,28.71%,42.92%,43.58%,44.19%,44.66%,43.57%,43.20%,45.25%,46.48%,47.37%,48.99%,50.13%,289902,298825,312456,326885,349849,397671,387599,396724,404106,398691,268867
,Missouri,11.75%,14.67%,17.35%,19.03%,20.51%,22.42%,24.79%,25.71%,26.99%,28.36%,31.50%,40.70%,44.04%,46.15%,47.64%,47.73%,45.93%,45.77%,47.15%,47.92%,49.55%,52.82%,45546,56093,63563,68984,72857,83636,89962,108204,116752,117999,73975
,Illinois,11.00%,13.84%,15.20%,17.89%,20.36%,22.26%,24.46%,25.18%,26.50%,28.36%,31.49%,39.22%,40.60%,41.62%,42.77%,43.76%,44.08%,46.63%,47.40%,48.62%,50.56%,53.85%,373490,388512,420447,457262,483199,550532,541515,576992,606422,607565,376817
,Idaho,10.91%,12.83%,14.51%,15.32%,15.97%,17.35%,20.28%,22.63%,23.87%,24.69%,28.31%,31.65%,34.19%,36.33%,37.30%,37.99%,38.26%,40.71%,42.39%,43.35%,43.54%,46.61%,49041,54961,58268,64393,72334,82896,93558,96860,101452,103159,63459
,Connecticut,12.63%,14.29%,16.15%,17.61%,17.99%,18.00%,20.57%,22.75%,24.24%,25.27%,28.83%,34.07%,35.26%,37.67%,39.68%,39.49%,38.40%,41.23%,43.01%,44.07%,44.76%,47.98%,151043,174001,195260,209848,232808,278529,269528,274856,288663,308870,199362
,Georgia,13.88%,15.55%,17.98%,20.38%,22.23%,22.07%,23.41%,24.77%,26.36%,28.09%,33.32%,39.79%,39.72%,40.68%,43.60%,45.36%,44.80%,45.79%,46.39%,47.87%,50.16%,54.54%,178937,218728,267562,300079,308322,368594,409576,473355,506350,514065,287297
,Minnesota,15.59%,16.94%,18.54%,19.99%,20.15%,19.56%,21.90%,23.19%,25.24%,27.22%,30.32%,41.46%,41.53%,41.81%,42.30%,41.27%,39.11%,41.31%,42.13%,44.25%,46.41%,48.07%,217117,228877,239703,250358,258208,304396,281020,291486,291158,285281,172604
,Florida,14.50%,16.77%,19.29%,21.34%,21.77%,20.27%,20.60%,23.32%,25.68%,27.75%,32.20%,38.52%,39.52%,39.98%,40.52%,39.45%,37.59%,37.34%,41.41%,43.92%,46.40%,50.14%,204379,226238,241843,252739,269629,391807,599237,774892,849467,911553,519683
,Virginia,12.15%,13.61%,16.24%,18.58%,19.88%,20.52%,22.62%,23.02%,23.08%,24.07%,28.46%,39.80%,41.29%,42.46%,42.93%,43.41%,42.33%,44.15%,44.64%,45.52%,47.51%,51.40%,280177,322004,339190,369255,388103,452436,466111,518300,532721,536251,315672
,Kansas,12.67%,15.59%,18.18%,19.58%,19.98%,19.44%,20.93%,21.73%,23.42%,26.26%,29.30%,41.65%,43.78%,44.74%,45.60%,44.77%,42.46%,43.66%,43.54%,45.27%,48.01%,50.41%,51685,55888,59631,62952,66082,76497,76052,97240,106191,111850,77488
,Maine,11.87%,13.59%,16.63%,18.22%,18.49%,17.89%,20.19%,21.14%,22.14%,21.68%,24.54%,30.72%,32.43%,37.23%,39.16%,39.23%,37.66%,40.76%,41.74%,42.69%,42.80%,46.26%,36165,47601,52164,57661,59996,72445,75258,74402,77785,79031,52083
,Texas,15.22%,17.47%,20.07%,21.77%,22.39%,21.07%,23.27%,25.00%,26.06%,27.49%,30.78%,38.93%,40.11%,42.24%,43.46%,44.38%,42.64%,46.28%,47.62%,47.86%,49.74%,52.84%,453558,580935,666902,738999,798709,1083993,1052624,1125194,1258241,1337463,780953
,Oklahoma,11.64%,17.33%,19.03%,19.52%,19.01%,19.45%,21.06%,22.32%,23.28%,25.02%,28.44%,39.22%,39.22%,44.13%,47.57%,48.28%,47.67%,48.39%,48.99%,50.08%,52.75%,55.64%,62205,86312,111220,120590,125482,138848,145767,163626,177697,179834,107008
,New Jersey,10.92%,11.46%,14.32%,16.32%,18.80%,18.08%,20.36%,21.23%,22.00%,24.24%,29.46%,35.58%,35.20%,35.78%,37.75%,39.20%,36.80%,39.86%,41.47%,43.25%,45.57%,49.29%,60607,82543,122301,157631,178586,243545,264179,305417,345790,363661,207706
,Nebraska,13.31%,15.18%,15.55%,16.64%,17.03%,17.15%,18.80%,20.76%,21.69%,23.66%,26.91%,41.29%,43.37%,41.41%,43.54%,44.73%,45.18%,46.36%,47.18%,47.09%,49.69%,52.01%,27607,33593,47831,55178,60472,69649,73305,76961,88458,94240,61435
,New York,12.17%,13.42%,14.71%,16.54%,16.53%,16.84%,20.00%,21.75%,22.62%,24.11%,27.60%,34.20%,35.42%,36.40%,36.44%,33.87%,33.16%,38.19%,40.38%,41.03%,43.11%,46.72%,374654,430043,480816,561384,676818,895115,839254,876882,940447,962116,585023
,Montana,9.65%,10.87%,11.76%,17.58%,20.48%,21.03%,21.86%,19.88%,18.49%,19.27%,20.50%,33.68%,35.26%,36.35%,35.63%,33.65%,31.75%,33.93%,33.65%,37.33%,40.16%,43.73%,23252,25519,27298,28730,30896,35424,35428,43018,50505,52363,31560
,South Dakota,14.39%,17.02%,17.89%,19.61%,18.47%,17.46%,19.31%,21.20%,22.37%,24.34%,27.73%,43.96%,42.72%,40.03%,40.05%,37.68%,35.59%,38.20%,39.90%,40.42%,41.79%,43.99%,31240,33076,37114,38962,42991,49200,47321,47298,48187,48392,30886
,New Mexico,14.12%,15.41%,17.26%,18.23%,15.88%,15.68%,17.59%,19.25%,20.45%,21.92%,25.30%,44.60%,43.44%,44.82%,45.69%,42.37%,41.63%,44.15%,45.34%,45.85%,46.77%,50.32%,43933,51729,58811,63461,68018,74753,75897,78105,80209,82179,49288
,New Hampshire,10.23%,12.15%,14.38%,16.29%,16.46%,17.64%,18.77%,19.75%,20.75%,22.40%,25.05%,37.11%,36.08%,38.57%,40.27%,39.39%,40.59%,41.66%,42.12%,42.58%,43.70%,46.06%,38953,42052,45001,46706,48694,51806,54135,54274,56217,57699,38158
,Arizona,14.40%,14.93%,16.85%,17.90%,16.92%,15.20%,17.64%,20.72%,22.44%,24.96%,28.56%,39.56%,40.08%,41.52%,42.01%,38.10%,33.38%,34.91%,37.23%,38.92%,41.99%,45.33%,53695,63230,67144,69340,76777,103170,123783,146216,168665,179895,104480
,Utah,10.58%,11.57%,11.86%,12.13%,12.10%,18.72%,27.01%,28.96%,28.69%,23.82%,25.79%,32.38%,33.33%,33.99%,34.22%,33.47%,31.89%,33.16%,33.14%,33.12%,29.20%,34.42%,47680,51677,54253,58207,63129,79522,70112,75665,80089,140413,108252
,Oregon,14.96%,15.80%,16.10%,16.15%,15.25%,12.26%,15.36%,16.40%,17.74%,18.94%,21.57%,35.74%,37.44%,38.03%,37.79%,35.44%,28.60%,34.25%,36.20%,37.64%,38.56%,40.91%,139765,148330,167246,178735,193567,268144,222213,225622,235808,244009,150598
,Wyoming,13.92%,14.89%,14.85%,16.07%,16.54%,17.91%,19.96%,19.27%,19.27%,19.96%,23.61%,43.12%,42.92%,43.30%,42.00%,41.14%,41.04%,41.80%,41.39%,42.32%,43.63%,47.92%,8759,9384,10218,11241,11855,13627,13743,15652,17010,19572,11309
,California,11.46%,11.72%,13.18%,13.83%,13.47%,12.80%,15.23%,17.08%,18.45%,20.86%,23.81%,31.84%,31.57%,33.08%,34.27%,32.40%,29.17%,31.49%,33.14%,34.46%,36.53%,39.01%,267245,358348,412281,505641,631946,828764,841356,907666,1069155,1098094,641589
,Vermont,10.35%,11.49%,12.06%,13.81%,14.00%,13.98%,14.02%,13.93%,14.56%,16.29%,18.82%,34.71%,35.23%,35.20%,32.99%,30.83%,30.46%,31.72%,32.91%,33.54%,34.77%,37.08%,22607,23274,24191,28546,35577,41025,41587,44005,45661,45415,28690
,Nevada,14.03%,15.38%,15.11%,15.53%,10.85%,11.63%,15.66%,17.39%,18.74%,18.11%,22.36%,36.14%,34.24%,35.06%,37.15%,27.50%,27.39%,33.57%,35.40%,37.07%,38.15%,42.54%,30399,39623,55860,64051,101323,109798,93825,95177,102288,118298,59659
,Colorado,10.31%,11.55%,12.66%,14.61%,15.48%,14.83%,16.89%,16.81%,16.93%,17.81%,19.89%,28.55%,30.86%,32.79%,33.21%,32.61%,29.99%,33.20%,33.23%,34.55%,36.31%,38.76%,146496,169308,193862,210779,236641,311853,301931,330702,364288,370253,226149
,Washington,10.60%,11.58%,16.82%,18.52%,17.88%,15.53%,13.35%,13.30%,14.23%,15.26%,18.24%,34.93%,35.33%,36.74%,37.16%,36.27%,32.76%,30.79%,30.94%,32.93%,34.83%,38.21%,92180,101684,113103,121149,129382,151939,169016,203924,218121,220395,122633
,Alaska,12.21%,15.12%,18.06%,19.08%,17.79%,18.47%,17.98%,16.89%,16.74%,13.93%,14.14%,38.55%,37.53%,38.75%,38.93%,39.85%,39.91%,40.71%,40.43%,38.96%,37.10%,40.25%,991,1111,1329,1436,1473,1646,1496,1474,1440,1515,785
,Hawaii,11.78%,13.45%,14.64%,15.20%,14.58%,12.01%,14.59%,16.99%,18.42%,19.82%,22.91%,30.83%,32.14%,32.75%,32.93%,31.64%,26.17%,30.64%,33.37%,35.28%,37.32%,40.26%,47306,48479,49141,51053,51483,70840,63956,65552,68997,67990,36682
,District of Columbia,7.94%,8.25%,8.17%,9.39%,8.19%,6.51%,10.50%,13.31%,13.02%,15.58%,19.46%,28.35%,28.08%,26.48%,27.89%,23.15%,20.78%,30.38%,32.86%,30.27%,33.85%,38.23%,2053,2304,2912,3438,4787,14263,16775,17794,23860,21806,9766
,"Total: Total includes all data under the ≥ 35 and &lt; 45 Years bucket, including data from rows not currently displayed.",14.05%,16.48%,19.18%,21.14%,21.58%,21.01%,23.09%,24.70%,25.81%,27.40%,30.87%,39.61%,40.59%,41.78%,42.70%,42.09%,40.39%,42.79%,44.14%,45.09%,46.86%,50.03%,7067921,8074997,8975181,9821359,10711972,13178474,13464703,14610517,15837699,16359309,10045364
≥ 45 and < 55 Years,Puerto Rico,15.24%,17.32%,21.61%,21.89%,22.94%,20.61%,19.30%,50.53%,52.91%,54.82%,58.02%,39.04%,36.58%,41.65%,43.58%,42.75%,39.18%,39.23%,54.86%,55.43%,57.31%,60.08%,374,462,509,530,510,587,627,3212,7787,10206,6167
,Ohio,16.43%,21.93%,26.84%,32.00%,33.42%,32.62%,33.49%,36.75%,38.48%,40.24%,41.96%,46.20%,48.68%,50.29%,51.62%,52.46%,51.67%,52.55%,53.86%,55.23%,56.48%,58.35%,801554,816844,831178,832878,833884,911253,912836,999047,1041234,1047123,746426
,Kentucky,16.95%,22.20%,27.34%,30.14%,31.21%,30.61%,33.95%,38.02%,40.09%,41.32%,43.99%,47.43%,50.29%,53.19%,54.20%,54.83%,53.63%,55.71%,57.21%,57.73%,58.53%,60.58%,205909,231174,243430,247848,250962,290749,305104,315360,321260,321807,225107
,West Virginia,17.94%,25.30%,32.20%,38.00%,38.80%,35.05%,34.19%,32.84%,34.83%,36.46%,39.08%,48.45%,48.47%,50.69%,53.66%,55.49%,55.25%,56.86%,55.89%,57.73%,60.25%,63.58%,52748,60697,72149,78394,81567,89376,90140,105943,119855,124019,83134
,Pennsylvania,16.56%,19.90%,28.18%,31.77%,32.79%,31.45%,32.04%,33.72%,34.11%,34.56%,36.40%,42.00%,44.48%,45.97%,47.44%,48.24%,47.37%,48.88%,50.09%,50.53%,51.35%,53.23%,589936,699493,784452,828577,834826,963111,934539,955399,979888,975612,611256
,Michigan,19.56%,22.49%,26.56%,29.60%,29.71%,31.82%,35.08%,36.27%,35.58%,37.62%,40.62%,45.54%,46.36%,47.79%,49.01%,46.51%,47.84%,50.67%,51.28%,49.93%,52.29%,55.28%,337732,375749,387899,383342,478380,517798,498912,510423,606541,645285,459441
,Mississippi,13.39%,15.41%,16.61%,17.97%,23.04%,26.26%,29.87%,33.94%,37.92%,40.54%,44.48%,50.30%,49.13%,48.10%,50.43%,52.40%,52.12%,55.19%,57.02%,57.87%,59.85%,63.57%,75807,84121,109362,138361,141172,164432,176398,183665,191550,195385,127382
,Alabama,21.03%,32.90%,38.21%,38.20%,39.17%,34.50%,38.66%,40.78%,41.79%,43.71%,48.69%,49.32%,50.70%,52.04%,52.11%,53.14%,50.78%,53.36%,54.03%,54.19%,55.80%,59.75%,30671,33145,34128,39489,41627,64236,69351,74914,76497,74762,43936
,North Carolina,17.29%,21.94%,26.11%,29.21%,31.34%,29.50%,33.22%,35.27%,35.40%,35.75%,38.20%,46.06%,47.57%,48.80%,50.18%,50.96%,48.14%,50.92%,52.16%,52.74%,53.69%,56.33%,505508,542127,574716,620737,629126,774834,803139,834412,906939,912665,620371
,Arkansas,15.38%,19.09%,23.68%,25.92%,29.27%,32.66%,35.69%,40.45%,42.29%,44.50%,48.08%,47.63%,50.28%,51.89%,51.73%,51.35%,51.50%,52.84%,54.34%,54.08%,55.31%,58.20%,69172,80305,83736,90712,95561,106020,102998,103970,107864,106046,70709
,Louisiana,20.36%,26.93%,28.02%,29.22%,29.16%,27.95%,30.33%,32.83%,35.08%,36.97%,39.93%,46.56%,47.68%,49.30%,51.46%,52.02%,50.05%,52.03%,53.25%,54.62%,55.90%,58.15%,172214,184055,199822,209695,216102,245963,260159,275936,295872,301587,209046
,North Dakota,19.09%,23.24%,27.02%,29.49%,29.83%,30.11%,31.37%,33.14%,34.59%,36.46%,38.72%,48.94%,49.84%,49.96%,49.92%,48.64%,47.94%,48.56%,50.02%,51.83%,53.60%,54.85%,50432,51255,51389,52555,53716,55677,56766,58747,64338,66571,47546
,Indiana,15.99%,21.61%,27.52%,30.23%,30.77%,29.43%,30.06%,32.33%,33.74%,35.46%,38.24%,46.51%,48.50%,50.52%,52.27%,53.30%,53.73%,55.12%,56.20%,56.37%,57.42%,59.75%,220871,238946,251823,263790,266269,298777,308734,316345,323385,323832,220523
,Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,21,23,23,24,20,17,22,23,18,21,10 or fewer
,Sonora,,,,,,,,,,,,,,,,,,,,,,,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer,10 or fewer
,Rhode Island,11.35%,14.13%,17.30%,19.54%,21.02%,22.92%,23.10%,24.66%,27.08%,30.50%,33.89%,24.10%,28.15%,30.68%,32.45%,32.95%,33.08%,34.22%,38.91%,39.47%,42.43%,46.58%,57364,63207,62983,63463,59757,62771,67464,69258,77723,72295,46090
,Iowa,20.10%,24.13%,26.23%,26.64%,25.54%,25.46%,26.96%,28.63%,31.27%,35.39%,38.15%,45.94%,48.70%,50.12%,51.30%,50.91%,51.35%,53.32%,54.18%,55.45%,57.37%,59.69%,140869,142735,143837,145787,149534,160744,159472,169673,179985,197009,136578
,Delaware,9.47%,13.86%,22.25%,26.32%,27.59%,29.05%,32.92%,33.91%,35.31%,35.63%,36.10%,37.81%,43.16%,47.96%,51.16%,52.31%,52.13%,54.77%,55.53%,56.86%,57.71%,58.01%,18259,25848,28353,30312,30855,35936,36374,39734,41232,42580,27795
,South Carolina,13.11%,16.75%,21.94%,25.15%,26.72%,25.01%,26.85%,28.68%,30.12%,30.64%,32.53%,41.68%,45.47%,48.36%,50.15%,50.81%,48.40%,51.11%,53.41%,54.61%,55.25%,56.87%,162425,198868,210260,233321,244533,312958,357275,388958,412313,415654,294494
,Massachusetts,17.11%,17.49%,19.35%,23.79%,25.76%,25.64%,26.83%,28.66%,29.79%,31.04%,34.35%,35.28%,34.69%,37.14%,40.01%,40.18%,38.69%,39.71%,41.88%,43.12%,43.76%,45.85%,188209,230195,271343,276081,271673,297935,319456,343403,381531,402315,279585
,Maryland,13.40%,17.05%,21.08%,25.02%,26.01%,23.75%,29.27%,31.05%,31.91%,33.15%,37.30%,41.68%,44.15%,44.76%,46.78%,46.25%,41.50%,48.84%,50.48%,51.32%,52.76%,56.19%,98012,118033,138461,160599,172893,221634,196991,201506,206718,207764,127749
,Tennessee,12.35%,14.20%,17.54%,20.31%,23.41%,25.83%,28.20%,30.81%,31.25%,32.77%,37.14%,47.62%,46.21%,48.71%,50.34%,49.97%,48.59%,50.03%,50.34%,49.05%,53.23%,58.11%,69153,87670,99218,103787,108415,125308,131381,138324,157533,181917,114380
,Wisconsin,16.60%,18.06%,19.59%,20.98%,21.60%,22.59%,25.21%,27.30%,29.55%,32.10%,33.83%,45.53%,46.39%,47.54%,48.56%,47.88%,47.91%,50.05%,51.38%,52.26%,53.61%,54.79%,346038,345943,345800,347674,355936,385794,371987,375385,379394,375754,266703
,Missouri,13.35%,16.51%,19.94%,22.60%,24.13%,26.40%,29.25%,30.52%,32.12%,33.35%,36.36%,43.88%,47.49%,50.13%,52.43%,52.53%,51.06%,51.25%,52.44%,53.32%,54.16%,57.35%,58344,68824,75040,79017,80571,88397,92359,108031,114871,115759,76658
,Illinois,11.68%,14.50%,16.23%,19.60%,22.57%,24.99%,27.60%,28.79%,30.32%,32.13%,34.71%,41.38%,42.88%,44.42%,45.84%,47.09%,47.50%,50.05%,50.88%,52.04%,53.67%,56.56%,440428,453423,480218,510619,523957,577188,567600,598132,627938,631281,419427
,Idaho,11.84%,14.42%,16.55%,17.76%,18.65%,20.31%,23.51%,25.99%,27.48%,28.20%,31.52%,33.32%,36.37%,38.69%,40.17%,41.33%,41.88%,44.40%,45.99%,46.91%,46.76%,49.62%,55963,61255,63295,68559,73784,82954,94449,99193,104130,106462,69761
,Connecticut,13.11%,15.15%,17.45%,19.40%,20.30%,20.65%,23.67%,26.28%,28.39%,29.14%,31.95%,37.14%,38.44%,40.79%,42.69%,42.84%,41.69%,44.83%,46.56%,47.62%,47.43%,50.17%,210236,235995,253407,261722,274684,307220,289101,285745,291240,304778,208006
,Georgia,16.34%,18.51%,21.69%,24.43%,26.44%,26.13%,27.28%,28.99%,31.06%,32.43%,37.18%,42.15%,42.46%,43.69%,46.81%,48.94%,48.44%,49.15%,50.01%,51.49%,53.18%,57.15%,218841,267306,319663,352051,356686,410729,464450,532474,561605,565063,340701
,Minnesota,18.03%,19.75%,21.92%,24.04%,24.91%,24.31%,27.13%,28.92%,31.10%,33.28%,35.57%,44.41%,44.66%,45.32%,46.29%,45.94%,43.81%,46.64%,47.85%,49.49%,51.44%,52.47%,243389,248660,249090,250116,247169,281020,257331,262956,263898,261504,169401
,Florida,15.59%,18.17%,21.25%,23.60%,24.00%,22.85%,23.54%,26.70%,29.28%,31.16%,35.42%,39.05%,40.52%,41.42%,42.14%,41.39%,39.55%,39.71%,43.83%,46.09%,47.92%,51.30%,274820,301506,312867,317502,328806,449886,664563,830994,892009,952671,588608
