,Measures,Percentage with Has Any Encounters? preceded by Diagnosis (All): Obesity CCW definition within 24 months (%),,,,,,,,,,,Percentage with Has Any Encounters? preceded by BMI 30.0  or more within 24 months (%),,,,,,,,,,,Number of Patients,,,,,,,,,,
,,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026,Jan 1 – Dec 31 2016,Jan 1 – Dec 31 2017,Jan 1 – Dec 31 2018,Jan 1 – Dec 31 2019,Jan 1 – Dec 31 2020,Jan 1 – Dec 31 2021,Jan 1 – Dec 31 2022,Jan 1 – Dec 31 2023,Jan 1 – Dec 31 2024,Jan 1 – Dec 31 2025,Jan 1 – Apr 14 2026
Age at Encounter in Years,State of Residence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Idaho,2.04%,2.43%,2.58%,2.55%,2.64%,2.91%,3.03%,3.28%,3.35%,3.77%,4.18%,3.07%,3.70%,4.04%,4.36%,4.82%,5.15%,5.39%,5.32%,5.27%,5.27%,5.31%,91810,105554,111069,118007,119784,130692,161790,167411,176024,176555,103856
,Connecticut,4.86%,5.01%,4.96%,5.08%,5.12%,5.02%,5.26%,5.55%,5.67%,5.91%,6.81%,4.88%,5.24%,5.70%,6.03%,6.06%,6.32%,6.61%,7.00%,6.98%,6.88%,7.34%,280762,297237,313531,325294,326563,394163,379987,371709,381604,380676,208508
,Georgia,2.24%,2.30%,2.35%,2.62%,3.28%,3.57%,3.37%,3.21%,3.23%,4.10%,4.94%,3.55%,3.92%,4.27%,4.67%,5.32%,5.55%,5.52%,5.75%,5.85%,6.36%,6.79%,472215,526026,612066,667900,595172,695444,785292,836373,861344,831868,420435
,Minnesota,2.79%,2.98%,3.25%,3.48%,3.63%,4.12%,4.14%,4.09%,4.18%,4.70%,4.95%,4.19%,4.28%,4.42%,4.57%,4.63%,5.16%,5.12%,5.10%,5.20%,5.54%,5.66%,383224,395516,404614,417028,390328,433164,433376,442388,449627,434310,241601
,Florida,3.12%,3.26%,3.41%,3.54%,3.74%,3.54%,3.35%,3.51%,3.92%,5.05%,6.00%,4.79%,4.98%,5.11%,5.13%,5.42%,5.32%,5.06%,5.60%,5.93%,6.30%,6.56%,489793,519510,549687,564084,545018,736217,1045123,1259852,1328323,1350699,716910
,Virginia,2.00%,2.10%,2.40%,2.51%,2.80%,3.14%,3.26%,3.18%,2.93%,3.56%,4.43%,4.70%,5.02%,5.28%,5.36%,5.66%,6.00%,5.98%,6.07%,6.07%,6.52%,7.06%,350707,401935,408187,430334,382146,448652,525216,572924,592406,566968,278603
,Kansas,3.87%,4.03%,4.29%,4.77%,5.37%,5.65%,5.57%,5.01%,4.73%,5.05%,5.71%,5.96%,6.31%,6.39%,6.83%,7.09%,7.14%,6.99%,6.55%,6.39%,6.58%,6.59%,77718,81839,83925,84638,78929,87701,91759,108119,116497,123607,75179
,Maine,3.38%,3.22%,3.30%,3.28%,3.27%,3.36%,3.53%,3.64%,3.84%,4.60%,5.32%,5.35%,5.65%,6.01%,6.22%,6.20%,6.38%,6.51%,6.54%,6.65%,6.84%,7.03%,64690,80276,86466,91910,88890,102367,106633,105897,108722,106637,64997
,Texas,3.59%,3.54%,3.40%,3.56%,3.86%,4.00%,4.07%,4.15%,4.24%,5.35%,6.01%,4.67%,4.73%,4.82%,5.10%,5.49%,6.16%,6.24%,6.23%,6.08%,6.35%,6.36%,1281634,1447977,1770043,1897156,1837306,2237549,2371345,2462179,2620460,2658095,1487191
,Oklahoma,1.49%,1.63%,1.76%,2.00%,2.41%,2.70%,2.72%,3.46%,4.18%,4.90%,5.47%,4.88%,5.13%,5.77%,6.30%,6.49%,6.66%,6.52%,6.97%,7.62%,8.26%,8.49%,105236,142073,171075,181189,171050,186164,210329,266888,301011,305632,170637
