age	geography	time	obesity_dx_ccw	obesity_bmi	diabetes_dx_ccw	diabetes_a1c_6_5	n_patients_chronic
<18 Years	06049	2023-01-01	NA	NA	NA	NA	48
<18 Years	04001	2023-01-01	NA	NA	NA	NA	37
<18 Years	05079	2023-01-01	6.22	9.68	NA	NA	434
<18 Years	01083	2023-01-01	NA	NA	NA	NA	68
<18 Years	04012	2023-01-01	NA	NA	NA	NA	49
<18 Years	05119	2023-01-01	8.35	6.63	0.63	0.5	47756
<18 Years	05061	2023-01-01	4.21	8.42	NA	NA	380
<18 Years	08087	2023-01-01	6.07	5.31	NA	NA	1187
<18 Years	05129	2023-01-01	NA	10.81	NA	NA	185
<18 Years	09013	2023-01-01	12.02	6.32	0.59	0.48	13047
<18 Years	01061	2023-01-01	1.61	3.75	NA	NA	933
<18 Years	01081	2023-01-01	NA	6.77	NA	NA	399
<18 Years	04011	2023-01-01	NA	NA	NA	NA	41
<18 Years	02230	2023-01-01	NA	NA	NA	NA	NA
<18 Years	08121	2023-01-01	NA	NA	NA	NA	132
<18 Years	01101	2023-01-01	NA	NA	NA	NA	121
<18 Years	05065	2023-01-01	NA	5.17	NA	NA	290
<18 Years	05149	2023-01-01	5.25	9.67	2.46	NA	610
<18 Years	05139	2023-01-01	5.11	7.45	1.26	1.01	1194
<18 Years	05109	2023-01-01	NA	4.81	NA	NA	395
<18 Years	08071	2023-01-01	5.56	5.28	NA	NA	360
<18 Years	05041	2023-01-01	6.93	8.55	NA	NA	433
<18 Years	05003	2023-01-01	4.41	9.88	2.12	1.94	567
<18 Years	09003	2023-01-01	10.88	7.44	0.55	0.46	103786
<18 Years	01089	2023-01-01	NA	NA	4.58	NA	262
<18 Years	08073	2023-01-01	NA	6.99	NA	NA	186
<18 Years	08055	2023-01-01	NA	NA	NA	NA	160
<18 Years	04009	2023-01-01	NA	7.32	NA	NA	164
<18 Years	06029	2023-01-01	9.29	8.72	1.02	0.38	48129
<18 Years	08061	2023-01-01	NA	NA	NA	NA	49
<18 Years	05025	2023-01-01	3.9	6.38	NA	NA	564
<18 Years	08095	2023-01-01	NA	NA	NA	NA	128
<18 Years	04013	2023-01-01	1.8	3.7	0.21	0.09	81767
<18 Years	08057	2023-01-01	NA	NA	NA	NA	56
<18 Years	05137	2023-01-01	4.83	8.18	NA	NA	269
<18 Years	01021	2023-01-01	NA	NA	NA	NA	20
<18 Years	06031	2023-01-01	6.02	6.73	1.67	0.72	5851
<18 Years	08017	2023-01-01	NA	NA	NA	NA	58
<18 Years	09001	2023-01-01	7.49	7.06	0.53	0.36	27453
<18 Years	02150	2023-01-01	2.1	3.73	NA	NA	1288
<18 Years	06097	2023-01-01	5.38	14.44	0.3	0.13	25741
<18 Years	08043	2023-01-01	3.44	4.85	2.03	1.76	1134
<18 Years	06063	2023-01-01	NA	5.07	NA	NA	217
<18 Years	06039	2023-01-01	4.94	4.89	0.86	0.37	14568
<18 Years	05115	2023-01-01	4.19	7.5	2	1.61	2052
<18 Years	08123	2023-01-01	3.54	4.24	0.51	0.28	46200
<18 Years	06023	2023-01-01	4.72	6.77	0.23	0.18	14504
<18 Years	01117	2023-01-01	NA	NA	NA	NA	154
<18 Years	04003	2023-01-01	6.26	5.7	2.92	2.85	1438
<18 Years	06083	2023-01-01	17.07	8.73	0.54	0.16	7977
<18 Years	01073	2023-01-01	3.9	4.12	NA	NA	461
<18 Years	06033	2023-01-01	8.67	6.3	NA	NA	1857
<18 Years	05011	2023-01-01	4.55	7.36	3.03	2.38	462
<18 Years	08103	2023-01-01	NA	NA	NA	NA	145
<18 Years	08009	2023-01-01	NA	NA	NA	NA	90
<18 Years	06069	2023-01-01	6.43	8.07	1.34	1.12	2318
<18 Years	08029	2023-01-01	3.65	6.39	NA	NA	438
<18 Years	08077	2023-01-01	3.42	5.42	0.81	0.59	7433
<18 Years	06089	2023-01-01	3.43	10.01	NA	NA	729
<18 Years	05113	2023-01-01	3.31	5.59	2.28	2.28	483
<18 Years	04019	2023-01-01	13.27	6.36	0.62	0.49	69893
<18 Years	02130	2023-01-01	NA	NA	NA	NA	14
<18 Years	05051	2023-01-01	4.85	7.59	1.89	1.68	2805
<18 Years	06107	2023-01-01	6.94	8.32	1.93	0.79	15664
<18 Years	02090	2023-01-01	NA	NA	NA	NA	59
<18 Years	06053	2023-01-01	10.09	8.38	0.58	0.45	46632
<18 Years	08125	2023-01-01	5	5	NA	NA	280
<18 Years	02122	2023-01-01	NA	NA	NA	NA	36
<18 Years	05133	2023-01-01	4.47	7.72	2.44	NA	492
<18 Years	06077	2023-01-01	6.68	5.45	0.52	0.13	19904
<18 Years	06021	2023-01-01	NA	NA	NA	NA	75
<18 Years	06045	2023-01-01	8.86	5.67	0.37	NA	6512
<18 Years	06065	2023-01-01	4.37	5.93	0.84	0.56	93302
<18 Years	02100	2023-01-01	NA	NA	NA	NA	NA
<18 Years	06027	2023-01-01	NA	14.77	NA	NA	88
<18 Years	02195	2023-01-01	NA	NA	NA	NA	NA
<18 Years	05005	2023-01-01	3.5	5.94	2.74	2.44	657
<18 Years	05089	2023-01-01	NA	7.96	NA	NA	226
<18 Years	05043	2023-01-01	2.93	6.01	NA	NA	682
<18 Years	06095	2023-01-01	9.21	6.96	0.43	0.18	10376
<18 Years	06091	2023-01-01	NA	NA	NA	NA	69
<18 Years	05097	2023-01-01	NA	6.28	NA	NA	207
<18 Years	08033	2023-01-01	NA	NA	NA	NA	21
<18 Years	02170	2023-01-01	NA	NA	NA	NA	76
<18 Years	06093	2023-01-01	NA	10.2	NA	NA	196
<18 Years	06055	2023-01-01	7.95	5.99	1.2	NA	918
<18 Years	02050	2023-01-01	NA	NA	NA	NA	NA
<18 Years	06009	2023-01-01	NA	4.81	NA	NA	270
<18 Years	06103	2023-01-01	NA	9.6	NA	NA	125
<18 Years	06105	2023-01-01	NA	NA	NA	NA	100
<18 Years	06037	2023-01-01	17.08	8.07	0.4	0.09	100195
<18 Years	06003	2023-01-01	NA	NA	NA	NA	NA
<18 Years	04023	2023-01-01	7.55	3.02	NA	NA	662
<18 Years	08119	2023-01-01	2	4.11	0.81	0.76	1847
<18 Years	06071	2023-01-01	7.1	5.76	1.16	0.79	74659
<18 Years	08085	2023-01-01	4.53	6.23	NA	NA	530
<18 Years	02180	2023-01-01	NA	NA	NA	NA	NA
<18 Years	08001	2023-01-01	4.46	5.08	0.52	0.33	52910
<18 Years	02261	2023-01-01	NA	NA	NA	NA	NA
<18 Years	08003	2023-01-01	4.1	5.74	NA	NA	366
<18 Years	08023	2023-01-01	NA	NA	NA	NA	70
<18 Years	06073	2023-01-01	6.57	3.48	0.2	0.05	108898
<18 Years	08041	2023-01-01	2.59	3.45	0.68	0.59	82328
<18 Years	08069	2023-01-01	2.75	3.3	0.43	0.24	41305
<18 Years	02068	2023-01-01	NA	NA	NA	NA	NA
<18 Years	02070	2023-01-01	NA	NA	NA	NA	NA
<18 Years	06043	2023-01-01	4.59	3.21	NA	NA	436
<18 Years	04025	2023-01-01	NA	NA	NA	NA	567
<18 Years	06005	2023-01-01	NA	NA	NA	NA	215
<18 Years	08105	2023-01-01	7.12	8.01	3.56	NA	337
<18 Years	08021	2023-01-01	NA	NA	NA	NA	177
<18 Years	06001	2023-01-01	9.66	6.24	0.31	0.13	92942
<18 Years	06087	2023-01-01	13.41	8.46	1.59	1.22	8105
<18 Years	02110	2023-01-01	NA	NA	NA	NA	20
<18 Years	06047	2023-01-01	6.69	7.67	1.59	0.57	14197
<18 Years	02020	2023-01-01	NA	NA	NA	NA	171
<18 Years	08093	2023-01-01	NA	2.45	NA	NA	489
<18 Years	08063	2023-01-01	NA	4.96	NA	NA	242
<18 Years	06067	2023-01-01	9.94	4.8	0.26	0.08	40281
<18 Years	06013	2023-01-01	9.07	7.14	0.36	0.19	77711
<18 Years	05009	2023-01-01	3.92	7.1	2.45	1.71	817
<18 Years	05101	2023-01-01	NA	NA	NA	NA	150
<18 Years	04021	2023-01-01	1.56	1.89	0.19	NA	9725
<18 Years	06007	2023-01-01	1.74	6.94	NA	NA	634
<18 Years	10003	2023-01-01	10.62	6.46	0.61	0.52	67584
<18 Years	08083	2023-01-01	4.51	4.51	NA	NA	266
<18 Years	08027	2023-01-01	NA	NA	NA	NA	115
<18 Years	08109	2023-01-01	NA	NA	NA	NA	38
<18 Years	08005	2023-01-01	4.68	4.11	0.51	0.31	65812
