age	county	bmi_30_49.8	obesity_(%)	n_obesity_county	Year
18-24 Years	OCONTO, WI	31.81%	11.32%	1855	1/1/2025 - 10/30/2025
18-24 Years	SHAWANO, WI	33.94%	14.56%	996	1/1/2025 - 10/30/2025
18-24 Years	WOOD, WV	38.34%	16.80%	4048	1/1/2025 - 10/30/2025
18-24 Years	HARDY, WV	43.75%	15.51%	432	1/1/2025 - 10/30/2025
18-24 Years	PENDLETON, WV	32.28%	11.11%	189	1/1/2025 - 10/30/2025
18-24 Years	BOONE, WV	43.10%	15.52%	232	1/1/2025 - 10/30/2025
18-24 Years	GILMER, WV	32.05%	18.59%	156	1/1/2025 - 10/30/2025
18-24 Years	FAYETTE, WV	37.90%	11.08%	343	1/1/2025 - 10/30/2025
18-24 Years	ROANE, WV	35.42%	12.50%	144	1/1/2025 - 10/30/2025
18-24 Years	BRAXTON, WV	33.87%	20.50%	561	1/1/2025 - 10/30/2025
18-24 Years	KEWAUNEE, WI	30.05%	12.42%	1055	1/1/2025 - 10/30/2025
18-24 Years	MINERAL, WV	37.02%	13.50%	1059	1/1/2025 - 10/30/2025
18-24 Years	JACKSON, WV	38.03%	19.78%	1512	1/1/2025 - 10/30/2025
18-24 Years	RANDOLPH, WV	38.80%	15.56%	585	1/1/2025 - 10/30/2025
18-24 Years	LOGAN, WV	43.88%	21.10%	237	1/1/2025 - 10/30/2025
18-24 Years	MARION, WV	38.13%	14.70%	3000	1/1/2025 - 10/30/2025
18-24 Years	MARSHALL, WV	38.84%	17.86%	1635	1/1/2025 - 10/30/2025
18-24 Years	MENOMINEE, WI	46.46%	14.17%	127	1/1/2025 - 10/30/2025
18-24 Years	BURNETT, WI	32.50%	7.50%	280	1/1/2025 - 10/30/2025
18-24 Years	LEWIS, WV	41.81%	15.95%	696	1/1/2025 - 10/30/2025
18-24 Years	WAUSHARA, WI	33.96%	12.94%	371	1/1/2025 - 10/30/2025
18-24 Years	HARRISON, WV	38.59%	17.28%	3877	1/1/2025 - 10/30/2025
18-24 Years	BROOKE, WV	36.29%	13.71%	744	1/1/2025 - 10/30/2025
18-24 Years	BERKELEY, WV	37.80%	16.12%	7412	1/1/2025 - 10/30/2025
18-24 Years	MERCER, WV	42.36%	15.05%	2233	1/1/2025 - 10/30/2025
18-24 Years	TUCKER, WV	40.30%	11.19%	134	1/1/2025 - 10/30/2025
18-24 Years	SUMMERS, WV	41.05%	16.84%	95	1/1/2025 - 10/30/2025
18-24 Years	FLORENCE, WI	36.84%	NA	95	1/1/2025 - 10/30/2025
18-24 Years	MORGAN, WV	38.51%	14.08%	696	1/1/2025 - 10/30/2025
18-24 Years	UPSHUR, WV	38.90%	17.44%	1365	1/1/2025 - 10/30/2025
18-24 Years	PRESTON, WV	40.90%	16.48%	995	1/1/2025 - 10/30/2025
18-24 Years	MANITOWOC, WI	32.06%	13.34%	3674	1/1/2025 - 10/30/2025
18-24 Years	MARQUETTE, WI	24.20%	9.96%	281	1/1/2025 - 10/30/2025
18-24 Years	WASHBURN, WI	32.68%	13.90%	410	1/1/2025 - 10/30/2025
18-24 Years	RALEIGH, WV	31.11%	10.83%	434	1/1/2025 - 10/30/2025
18-24 Years	WAUPACA, WI	33.03%	14.16%	551	1/1/2025 - 10/30/2025
18-24 Years	LINCOLN, WV	40.53%	15.61%	301	1/1/2025 - 10/30/2025
18-24 Years	CHIPPEWA, WI	28.63%	10.14%	1055	1/1/2025 - 10/30/2025
18-24 Years	HAMPSHIRE, WV	36.68%	13.73%	867	1/1/2025 - 10/30/2025
18-24 Years	DOUGLAS, WI	31.59%	17.58%	2235	1/1/2025 - 10/30/2025
18-24 Years	OHIO, WV	32.73%	14.49%	2325	1/1/2025 - 10/30/2025
18-24 Years	PIERCE, WI	22.89%	9.68%	651	1/1/2025 - 10/30/2025
18-24 Years	DOOR, WI	31.80%	9.62%	676	1/1/2025 - 10/30/2025
18-24 Years	PEPIN, WI	21.95%	9.76%	164	1/1/2025 - 10/30/2025
18-24 Years	GREENBRIER, WV	26.91%	8.97%	223	1/1/2025 - 10/30/2025
18-24 Years	KANAWHA, WV	35.10%	13.18%	3225	1/1/2025 - 10/30/2025
18-24 Years	GREEN LAKE, WI	26.62%	10.43%	278	1/1/2025 - 10/30/2025
18-24 Years	GARFIELD, WA	NA	NA	5	1/1/2025 - 10/30/2025
18-24 Years	MASON, WV	42.82%	17.03%	411	1/1/2025 - 10/30/2025
18-24 Years	RUSK, WI	25.15%	12.87%	171	1/1/2025 - 10/30/2025
18-24 Years	GOSHEN, WY	34.96%	16.26%	123	1/1/2025 - 10/30/2025
18-24 Years	CALUMET, WI	25.29%	10.04%	1115	1/1/2025 - 10/30/2025
18-24 Years	GRANT, WA	33.68%	13.74%	2372	1/1/2025 - 10/30/2025
18-24 Years	SHEBOYGAN, WI	28.33%	11.45%	6400	1/1/2025 - 10/30/2025
18-24 Years	ROCK, WI	31.10%	13.37%	6184	1/1/2025 - 10/30/2025
18-24 Years	JEFFERSON, WV	32.10%	13.54%	3109	1/1/2025 - 10/30/2025
18-24 Years	ADAMS, WA	29.75%	NA	121	1/1/2025 - 10/30/2025
18-24 Years	FOREST, WI	35.94%	NA	64	1/1/2025 - 10/30/2025
18-24 Years	HANCOCK, WV	34.96%	10.67%	675	1/1/2025 - 10/30/2025
18-24 Years	WAHKIAKUM, WA	33.33%	NA	75	1/1/2025 - 10/30/2025
18-24 Years	BROWN, WI	30.20%	11.68%	17721	1/1/2025 - 10/30/2025
18-24 Years	WINNEBAGO, WI	29.79%	12.94%	5301	1/1/2025 - 10/30/2025
18-24 Years	WALWORTH, WI	30.06%	11.59%	4884	1/1/2025 - 10/30/2025
18-24 Years	DUNN, WI	30.13%	8.48%	448	1/1/2025 - 10/30/2025
18-24 Years	PLATTE, WY	39.66%	NA	58	1/1/2025 - 10/30/2025
