Session Title,Heat only NDVA county year 2018-2025,,
Session ID,2792486,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: STATES_ND_VA,"Encounter Type: Emergency, Emergency to Inpatient",
Session Date Range,1/1/2018 - 12/31/2025,,
Measure,Number of Patients,,
Export User,Stephanie Perniciaro,,
Date of Export,1/22/2026,,
,,,
,,,
,Diagnosis (Encounter),Heat,"Total: Total includes all data, including data from columns not currently displayed."
Year,County of Residence,,
,"CLARENDON, SC",10 or fewer,336
,"LEE, VA",10 or fewer,5060
,"AUGUSTA, VA",10 or fewer,4257
,"SEQUOYAH, OK",10 or fewer,718
,"LLANO, TX",18,4923
,"CHAMBERS, TX",10 or fewer,2915
,"JEFFERSON, TX",10 or fewer,2352
,"NICHOLAS, WV",10 or fewer,398
,"WASHINGTON, UT",10 or fewer,738
,"MINERAL, WV",10 or fewer,4631
,"CHEROKEE, TX",10 or fewer,293
,"AUGLAIZE, OH",10 or fewer,4305
,"HARDIN, OH",10 or fewer,5731
,"ROSS, OH",10 or fewer,2148
,"NEW KENT, VA",10 or fewer,3585
,"GIBSON, TN",10 or fewer,1004
,"VAN ZANDT, TX",10 or fewer,930
,"WALKER, TX",10 or fewer,2372
,"HILL, TX",10 or fewer,2500
,"SHELBY, OH",10 or fewer,3311
,"OTTAWA, OH",10 or fewer,4439
,"YAMHILL, OR",10 or fewer,3562
,"MORTON, ND",10 or fewer,3703
,"FULTON, OH",10 or fewer,3215
,"POWHATAN, VA",10 or fewer,3772
,"NAVARRO, TX",10 or fewer,1512
,"UNION, OH",10 or fewer,3967
,"WILLIAMSBURG, SC",10 or fewer,337
,"FAIRFIELD, SC",10 or fewer,256
,"DAVIDSON, TN",10 or fewer,2167
,"PAGE, VA",10 or fewer,2676
,"SCOTT, VA",10 or fewer,4018
,"ERIE, OH",10 or fewer,3509
,"BEAUFORT, SC",10 or fewer,2041
,"SPOTSYLVANIA, VA",10 or fewer,2591
,"STUTSMAN, ND",10 or fewer,3895
,"PAYNE, OK",13,3038
,"LE FLORE, OK",10 or fewer,386
,"GREENE, VA",10 or fewer,4121
,"SEQUATCHIE, TN",10 or fewer,4471
,"MORROW, OH",10 or fewer,3544
,"DINWIDDIE, VA",10 or fewer,616
,"KNOX, OH",10 or fewer,2253
,"PRESTON, WV",10 or fewer,2520
,"COOKE, TX",10 or fewer,542
,"ARMSTRONG, PA",10 or fewer,1830
,"UNICOI, TN",10 or fewer,1111
,"BROWN, SD",10 or fewer,3105
,"JOHNSON, TN",10 or fewer,334
,"DYER, TN",10 or fewer,817
,"GOOCHLAND, VA",10 or fewer,1850
,"ABBEVILLE, SC",10 or fewer,2971
,"PRINCE GEORGE, VA",10 or fewer,695
,"COLONIAL HEIGHTS CITY, VA",10 or fewer,796
,"CRAIG, OK",11,3454
,"SAN PATRICIO, TX",10 or fewer,2792
,"BRISTOL CITY, VA",10 or fewer,3973
,"GRIMES, TX",10 or fewer,2098
,"GREENE, PA",10 or fewer,1759
,"TIOGA, PA",10 or fewer,2553
,"WEAKLEY, TN",10 or fewer,1404
,"HAMPSHIRE, WV",10 or fewer,794
,"LAMPASAS, TX",10 or fewer,950
,"MCINTOSH, OK",10 or fewer,1926
,"WASHINGTON, OH",10 or fewer,2481
,"ORANGE, VT",10 or fewer,1495
,"ADAMS, OH",10 or fewer,2737
,"LAWRENCE, PA",10 or fewer,1529
,"PANOLA, TX",10 or fewer,165
,"AUSTIN, TX",10 or fewer,2051
,"KING WILLIAM, VA",10 or fewer,3024
,"MUSKINGUM, OH",10 or fewer,1787
,"TAZEWELL, VA",10 or fewer,845
,"WETZEL, WV",10 or fewer,987
,"LOGAN, OH",10 or fewer,2557
,"GREENSVILLE, VA",10 or fewer,399
,"KNOX, TN",10 or fewer,1519
,"JEFFERSON, OH",10 or fewer,682
,"WYANDOT, OH",10 or fewer,1639
,"GEORGETOWN, SC",10 or fewer,1155
,"SOUTHAMPTON, VA",10 or fewer,1725
,"HANCOCK, OH",10 or fewer,2436
,"MARION, TN",10 or fewer,2786
,"NEWBERRY, SC",10 or fewer,1164
,"MCKENZIE, ND",10 or fewer,1961
,"FAYETTE, OH",10 or fewer,2219
,"EL PASO, TX",10 or fewer,1135
