Session Title,Number of Patients by Diagnosis (Encounter) and County of Residence,,
Session ID,2792481,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: STATES_AL_DE,"Encounter Type: Emergency, Emergency to Inpatient",
Session Date Range,1/1/2018 - 12/31/2025,,
Measure,Number of Patients,,
Export User,Stephanie Perniciaro,,
Date of Export,1/22/2026,,
,,,
,,,
,Diagnosis (Encounter),Heat,"Total: Total includes all data, including data from columns not currently displayed."
Year,County of Residence,,
,"COLUMBIA, AR",10 or fewer,247
,"CARROLL, AR",10 or fewer,81
,"CHAFFEE, CO",10 or fewer,240
,"FAIRBANKS NORTH STAR, AK",10 or fewer,232
,"CHICOT, AR",10 or fewer,234
,"LEE, AR",10 or fewer,240
,"SCOTT, AR",10 or fewer,63
,"POLK, AR",10 or fewer,163
,"BOONE, AR",10 or fewer,173
,"MATANUSKA SUSITNA, AK",10 or fewer,262
,"COVINGTON, AL",10 or fewer,73
,"TUOLUMNE, CA",10 or fewer,263
,"MENDOCINO, CA",10 or fewer,228
,"MORGAN, AL",10 or fewer,260
,"GILPIN, CO",10 or fewer,236
,"INYO, CA",10 or fewer,240
,"LIMESTONE, AL",10 or fewer,195
,"MONROE, AL",10 or fewer,199
,"MARSHALL, AL",10 or fewer,224
,"GRAHAM, AZ",10 or fewer,250
,"PROWERS, CO",10 or fewer,209
,"PIKE, AL",10 or fewer,47
,"STONE, AR",10 or fewer,200
,"CLEAR CREEK, CO",10 or fewer,240
,"HUERFANO, CO",10 or fewer,145
,"HOWARD, AR",10 or fewer,217
,"ELMORE, AL",10 or fewer,147
,"MARENGO, AL",10 or fewer,44
,"LAUDERDALE, AL",10 or fewer,154
,"SAINT CLAIR, AL",10 or fewer,155
,"MONTEZUMA, CO",10 or fewer,172
,"WOODRUFF, AR",10 or fewer,187
,"SUTTER, CA",10 or fewer,164
,"TALLADEGA, AL",10 or fewer,171
,"LAKE, CA",10 or fewer,182
,"KENAI PENINSULA, AK",10 or fewer,172
,"CALAVERAS, CA",10 or fewer,163
,"SEVIER, AR",10 or fewer,110
,"CUSTER, CO",10 or fewer,86
,"SEARCY, AR",10 or fewer,181
,"YUBA, CA",10 or fewer,178
,"CULLMAN, AL",10 or fewer,113
,"RIO GRANDE, CO",10 or fewer,113
,"CROWLEY, CO",10 or fewer,98
,"IZARD, AR",10 or fewer,163
,"ALAMOSA, CO",10 or fewer,143
,"COLBERT, AL",10 or fewer,128
,"CLEBURNE, AL",10 or fewer,150
,"AUTAUGA, AL",10 or fewer,127
,"SISKIYOU, CA",10 or fewer,169
,"FRANKLIN, AL",10 or fewer,52
,"CALHOUN, AR",10 or fewer,104
,"LINCOLN, CO",10 or fewer,183
,"MONO, CA",10 or fewer,124
,"YUMA, CO",10 or fewer,128
,"MONTGOMERY, AR",10 or fewer,96
,"KIT CARSON, CO",10 or fewer,122
,"LA PAZ, AZ",10 or fewer,152
,"WALKER, AL",10 or fewer,99
,"BENT, CO",10 or fewer,103
,"ARCHULETA, CO",10 or fewer,99
,"AMADOR, CA",10 or fewer,139
,"MODOC, CA",10 or fewer,147
,"LITTLE RIVER, AR",10 or fewer,109
,"JUNEAU, AK",10 or fewer,123
,"FULTON, AR",10 or fewer,114
,"TEHAMA, CA",10 or fewer,103
,"RIO BLANCO, CO",10 or fewer,98
,"MARION, AR",10 or fewer,84
,"JACKSON, CO",10 or fewer,89
,"BLOUNT, AL",10 or fewer,76
,"DALLAS, AL",10 or fewer,64
,"CONECUH, AL",10 or fewer,62
,"DEL NORTE, CA",10 or fewer,106
,"TALLAPOOSA, AL",10 or fewer,80
,"WILCOX, AL",10 or fewer,24
,"GREENLEE, AZ",10 or fewer,117
,"SAN MIGUEL, CO",10 or fewer,69
,"CHILTON, AL",10 or fewer,67
,"FAYETTE, AL",10 or fewer,83
,"SIERRA, CA",10 or fewer,97
,"WASHINGTON, CO",10 or fewer,95
,"LAKE, CO",10 or fewer,83
,"PHILLIPS, CO",10 or fewer,78
,"CONEJOS, CO",10 or fewer,80
,"BACA, CO",10 or fewer,57
,"CRENSHAW, AL",10 or fewer,28
,"LAFAYETTE, AR",10 or fewer,66
,"BUTLER, AL",10 or fewer,33
,"NEWTON, AR",10 or fewer,30
,"WINSTON, AL",10 or fewer,59
,"COSTILLA, CO",10 or fewer,61
,"LAWRENCE, AL",10 or fewer,37
,"KODIAK ISLAND, AK",10 or fewer,61
,"SAGUACHE, CO",10 or fewer,41
,"GLENN, CA",10 or fewer,54
,"HALE, AL",10 or fewer,35
,"CLAY, AL",10 or fewer,47
,"MACON, AL",10 or fewer,34
,"SEDGWICK, CO",10 or fewer,53
,"KETCHIKAN GATEWAY, AK",10 or fewer,34
,"OURAY, CO",10 or fewer,41
,"BIBB, AL",10 or fewer,37
,"COLUSA, CA",10 or fewer,32
,"TRINITY, CA",10 or fewer,33
,"KIOWA, CO",10 or fewer,29
,"GREENE, AL",10 or fewer,17
,"CHEYENNE, CO",10 or fewer,43
,"SITKA, AK",10 or fewer,34
,"BULLOCK, AL",10 or fewer,15
,"COOSA, AL",10 or fewer,15
,"ALPINE, CA",10 or fewer,31
,"SOUTHEAST FAIRBANKS, AK",10 or fewer,18
,"LOWNDES, AL",10 or fewer,18
,"VALDEZ CORDOVA, AK",10 or fewer,20
,"BETHEL, AK",10 or fewer,19
,"DOLORES, CO",10 or fewer,10 or fewer
,"PERRY, AL",10 or fewer,11
,"HINSDALE, CO",10 or fewer,15
,"NORTH SLOPE, AK",10 or fewer,13
,"NOME, AK",10 or fewer,13
,"PRINCE OF WALES HYDER, AK",10 or fewer,14
,"PETERSBURG, AK",10 or fewer,15
,"ALEUTIANS WEST, AK",10 or fewer,12
,"MINERAL, CO",10 or fewer,11
,"NORTHWEST ARCTIC, AK",10 or fewer,10 or fewer
,"YUKON KOYUKUK, AK",10 or fewer,10 or fewer
,"HAINES, AK",10 or fewer,10 or fewer
,"SAN JUAN, CO",10 or fewer,10 or fewer
,"WRANGELL, AK",10 or fewer,10 or fewer
,"DENALI, AK",10 or fewer,10 or fewer
,"DILLINGHAM, AK",10 or fewer,11
,"HOONAH ANGOON, AK",10 or fewer,10 or fewer
,"ALEUTIANS EAST, AK",10 or fewer,10 or fewer
,"BRISTOL BAY, AK",10 or fewer,10 or fewer
,"SKAGWAY, AK",10 or fewer,10 or fewer
,"LAKE AND PENINSULA, AK",10 or fewer,10 or fewer
,"KUSILVAK, AK",10 or fewer,10 or fewer
,"YAKUTAT, AK",10 or fewer,10 or fewer
,None of the above,209,275645
,Total,1963,2056628
Jan 1 – Dec 31 2019,"SAN DIEGO, CA",84,193476
,"MARICOPA, AZ",275,147229
,"RIVERSIDE, CA",141,112513
,"FRESNO, CA",105,91674
,"EL PASO, CO",39,96981
,"HARTFORD, CT",59,101045
,"DENVER, CO",34,89285
,"SAN BERNARDINO, CA",23,44813
,"ORANGE, CA",12,26058
,"ARAPAHOE, CO",18,60905
,"SANTA CLARA, CA",27,52873
,"ALAMEDA, CA",29,39526
,"PULASKI, AR",145,71246
