Session Title,OBESITY by ICD and BMI County KYNY Age 2026,,,
Session ID,2818141,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"BENTON, MO",48.18%,22.84%,1042,
"BOLLINGER, MO",48.16%,60.04%,3206,
"MUSSELSHELL, MT",48.11%,26.05%,979,
"PEARL RIVER, MS",48.09%,27.56%,32064,
"NIAGARA, NY",48.04%,25.81%,42446,
"HAMILTON, NE",48.02%,23.46%,2093,
"CLINTON, NY",47.99%,15.22%,34499,
"UNION, KY",47.99%,38.30%,7318,
"SANILAC, MI",47.97%,25.01%,9773,
"OCEANA, MI",47.96%,40.22%,18883,
"WEBSTER, MS",47.95%,29.28%,5226,
"HENRY, KY",47.94%,27.36%,11524,
"CASS, MO",47.94%,26.69%,21196,
"HURON, MI",47.92%,25.28%,15604,
"COLFAX, NE",47.89%,19.60%,806,
"CASS, MI",47.87%,29.07%,16895,
"FILLMORE, NE",47.86%,18.95%,913,
"CRAWFORD, MO",47.85%,17.37%,2159,
"TUSCOLA, MI",47.84%,29.54%,22376,
"ANTELOPE, NE",47.84%,19.80%,1712,
"DAVIESS, MO",47.84%,21.87%,1733,
"BULLITT, KY",47.80%,31.31%,50035,
"MONROE, MI",47.80%,35.25%,76110,
"PEMISCOT, MO",47.79%,46.67%,3306,
"JOHNSON, KY",47.79%,25.95%,2647,
"GARRARD, KY",47.77%,29.84%,6220,
"SARPY, NE",47.74%,25.22%,46397,
"SAINT MARTIN, LA",47.73%,27.71%,18609,
"VALLEY, NE",47.72%,18.38%,593,
"TATE, MS",47.66%,24.40%,5615,
"OTOE, NE",47.65%,22.99%,2149,
"YALOBUSHA, MS",47.64%,25.52%,3573,
"GOLDEN VALLEY, MT",47.60%,23.20%,250,
"LYON, KY",47.59%,38.35%,3179,
"PETTIS, MO",47.58%,21.65%,1076,
"WASHINGTON, NY",47.58%,25.10%,21679,
"LESLIE, KY",47.48%,21.29%,3218,
"MAGOFFIN, KY",47.45%,24.26%,2061,
"SCHOHARIE, NY",47.45%,27.70%,16172,
"WAYNE, MO",47.45%,63.12%,4257,
"MENOMINEE, MI",47.42%,32.17%,13351,
"RAY, MO",47.37%,18.05%,3230,
"PRINCE GEORGES, MD",47.37%,26.55%,56044,
"MCCREARY, KY",47.35%,23.55%,3945,
"PHELPS, MO",47.34%,21.10%,18623,
"LIVINGSTON, KY",47.33%,31.83%,4568,
"ALGER, MI",47.33%,14.50%,655,
"MASON, MI",47.32%,33.64%,19650,
"CRITTENDEN, KY",47.29%,27.94%,2144,
"ASSUMPTION, LA",47.28%,28.92%,6083,
"WASHINGTON, MS",47.27%,19.78%,1466,
"THAYER, NE",47.25%,18.42%,673,
"PULASKI, KY",47.24%,22.95%,11479,
"CALHOUN, MI",47.23%,23.35%,50877,
"OSCEOLA, MI",47.21%,28.72%,11357,
"CALDWELL, KY",47.20%,34.82%,3621,
"WEST BATON ROUGE, LA",47.20%,31.05%,16550,
"MARSHALL, KY",47.18%,28.25%,17534,
"DEUEL, NE",47.15%,20.88%,613,
"CHENANGO, NY",47.14%,23.84%,30329,
"MUSKEGON, MI",47.13%,34.96%,112941,
"LAUDERDALE, MS",47.12%,28.84%,34519,
"GREEN, KY",47.12%,23.23%,1976,
"POINTE COUPEE, LA",47.11%,27.90%,10796,
"MARION, KY",47.06%,25.35%,3396,
"SAINT CLAIR, MO",47.04%,23.91%,389,
"BRANCH, MI",47.04%,24.75%,16539,
"HARFORD, MD",47.04%,34.94%,73958,
"HERKIMER, NY",47.03%,26.58%,33548,
"JEFFERSON, NY",47.02%,18.54%,6229,
"TRIGG, KY",47.00%,27.94%,1385,
"SAINT LAWRENCE, NY",47.00%,23.60%,48626,
"CLAY, MO",46.99%,25.16%,51405,
"JACKSON, MI",46.98%,34.60%,91157,
"DUNDY, NE",46.97%,16.14%,347,
"BALLARD, KY",46.93%,33.04%,3220,
"SAINTE GENEVIEVE, MO",46.92%,55.98%,552,
