Session Title,OBESITY by ICD and BMI County ALDE Age 2026,,,
Session ID,2815139,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,4/30/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"LAKE AND PENINSULA, AK",,,10 or fewer,
"LOWER CT RIVER VLY, CT",,,10 or fewer,
"WESTERN CT, CT",,,10 or fewer,
"BRISTOL BAY, AK",,,10 or fewer,
"SACRAMENTO, CA",28.11%,16.54%,145246,
"TALLAPOOSA, AL",28.01%,11.83%,482,
"WINSTON, AL",27.96%,11.59%,397,
"BROOMFIELD, CO",27.84%,14.92%,23010,
"JUNEAU, AK",27.47%,12.88%,233,
"MERCED, CA",27.34%,18.97%,17597,
"ORANGE, CA",27.18%,17.63%,481801,
"ALAMEDA, CA",27.11%,15.81%,274404,
"SAGUACHE, CO",26.94%,14.69%,245,
"DENALI, AK",,,15,
"COLUSA, CA",26.30%,8.16%,441,
"AMADOR, CA",26.08%,13.33%,1553,
"YOLO, CA",25.65%,10.51%,24791,
"GARFIELD, CO",25.55%,11.01%,3432,
"NEW CASTLE, DE",25.55%,17.49%,88516,
"GILPIN, CO",25.23%,14.11%,1070,
"MATANUSKA SUSITNA, AK",25.19%,11.31%,389,
"CLEAR CREEK, CO",25.17%,12.78%,751,
"GLENN, CA",25.07%,11.21%,339,
"BOONE, AR",25.02%,10.32%,1027,
"NOME, AK",,,12,
"SITKA, AK",25.00%,,64,
"SKAGWAY, AK",,,10 or fewer,
"YUKON KOYUKUK, AK",,,10 or fewer,
"LAKE, CO",24.90%,10.49%,486,
"MARIN, CA",24.76%,19.69%,36769,
"COLBERT, AL",24.69%,11.27%,887,
"SANTA CLARA, CA",23.96%,14.46%,276940,
"MONO, CA",23.60%,9.73%,411,
"TUOLUMNE, CA",23.49%,16.00%,1656,
"SAN MATEO, CA",23.14%,15.83%,131485,
"LOWNDES, AL",23.02%,13.67%,139,
"EL DORADO, CA",22.75%,12.76%,14268,
"DALLAS, AL",22.40%,14.67%,375,
"DILLINGHAM, AK",,,10 or fewer,
"YAVAPAI, AZ",22.12%,9.05%,9509,
"SAN LUIS OBISPO, CA",21.80%,14.52%,5322,
"MINERAL, CO",21.67%,,60,
"LAWRENCE, AL",21.46%,8.81%,261,
"ARCHULETA, CO",21.38%,12.22%,491,
"BUTTE, CA",21.35%,8.65%,3180,
"ANCHORAGE, AK",21.32%,10.78%,1670,
"STANISLAUS, CA",21.30%,13.30%,18396,
"CHAFFEE, CO",21.28%,9.94%,1499,
"BOULDER, CO",21.15%,13.29%,130546,
"GRAND, CO",20.82%,9.03%,1960,
"KUSILVAK, AK",,,10 or fewer,
"WALKER, AL",20.00%,15.65%,1565,
"CARROLL, AR",19.30%,8.56%,829,
"PLACER, CA",19.25%,9.48%,19515,
"LAUDERDALE, AL",19.21%,8.58%,734,
"SAN FRANCISCO, CA",18.70%,14.04%,148229,
"BLOUNT, AL",18.24%,8.88%,1880,
"MADISON, AL",18.19%,9.09%,2771,
"OURAY, CO",18.07%,7.53%,332,
"WASHINGTON, AR",17.87%,10.66%,17697,
"SUMMIT, CO",17.13%,6.94%,2177,
"ROUTT, CO",16.92%,10.11%,13046,
"ELMORE, AL",16.74%,9.46%,1511,
"LA PLATA, CO",16.67%,9.31%,1440,
"MORGAN, AL",16.58%,8.86%,790,
"LIMESTONE, AL",16.34%,7.62%,1010,
"MONTGOMERY, AL",15.84%,9.60%,4136,
"CULLMAN, AL",15.26%,5.92%,1520,
"NEVADA, CA",15.10%,6.69%,2721,
"COCONINO, AZ",14.98%,7.53%,3719,
"VENTURA, CA",14.91%,6.95%,19990,
"GUNNISON, CO",14.90%,8.42%,6933,
"EAGLE, CO",14.80%,6.32%,2689,
"HINSDALE, CO",14.78%,5.42%,203,
"BENTON, AR",14.74%,8.46%,15931,
"MADISON, AR",14.67%,9.17%,927,
"SAN JUAN, CO",,,28,
"SAINT CLAIR, AL",14.08%,7.36%,2514,
"COOSA, AL",13.93%,7.38%,244,
"AUTAUGA, AL",13.45%,6.98%,1160,
"PITKIN, CO",10.80%,5.43%,3980,
"SAN MIGUEL, CO",10.76%,3.39%,502,
"BIBB, AL",9.25%,6.41%,1232,
"CHILTON, AL",8.90%,4.98%,1707,
"JEFFERSON, AL",8.83%,6.48%,36038,
"SHELBY, AL",7.14%,4.04%,10517,
"WRANGELL, AK",,,10 or fewer,
None of the above,32.61%,21.50%,1420684,
Total,33.11%,20.45%,10635085,
