Session Title,OBESITY by ICD and BMI County UTWY Age 2026,,,
Session ID,2819406,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Utah, Vermont, Virginia, West Virginia, Washington, Wisconsin, Wyoming",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"LANCASTER, VA",42.17%,19.61%,7665,
"ADAMS, WI",42.11%,22.60%,5300,
"GOSHEN, WY",42.05%,21.32%,2416,
"VIRGINIA BEACH CITY, VA",42.04%,26.18%,164572,
"BROWN, WI",42.04%,27.20%,174435,
"MONROE, WI",42.00%,28.64%,16595,
"JEFFERSON, WI",41.99%,25.19%,21236,
"CULPEPER, VA",41.71%,20.83%,28005,
"KENOSHA, WI",41.70%,29.41%,75047,
"CALUMET, WI",41.70%,25.15%,9285,
"HENRICO, VA",41.65%,20.66%,107655,
"MENOMINEE, WI",41.65%,24.94%,778,
"LARAMIE, WY",41.59%,21.54%,38289,
"MONONGALIA, WV",41.58%,23.07%,44238,
"PEND OREILLE, WA",41.57%,17.98%,89,
"EAU CLAIRE, WI",41.46%,19.89%,16141,
"MILWAUKEE, WI",41.42%,30.36%,452222,
"RICHMOND CITY, VA",41.31%,20.68%,63015,
"NELSON, VA",41.25%,26.14%,8295,
"ASOTIN, WA",41.24%,12.43%,354,
"WASHINGTON, WI",41.21%,29.02%,89300,
"FERRY, WA",41.21%,17.59%,199,
"WAYNE, WV",41.05%,15.93%,10269,
"CLARKE, VA",41.02%,22.47%,7267,
"VERNON, WI",41.02%,23.72%,12688,
"MONROE, WV",40.94%,15.96%,1617,
"YORK, VA",40.88%,25.73%,29392,
"WAYNESBORO CITY, VA",40.81%,20.58%,9061,
"COVINGTON CITY, VA",40.68%,19.77%,354,
"POLK, WI",40.63%,22.96%,6151,
"POCAHONTAS, WV",40.34%,16.16%,1646,
"RICHLAND, WI",40.24%,19.03%,3800,
"GOOCHLAND, VA",40.22%,18.46%,8888,
"BIG HORN, WY",40.18%,11.69%,1411,
"BARRON, WI",40.17%,14.70%,4232,
"CABELL, WV",40.12%,14.22%,23399,
"DAGGETT, UT",40.00%,16.43%,140,
"SKAGIT, WA",39.99%,17.66%,54231,
"CLARK, WI",39.99%,15.38%,1658,
"FAUQUIER, VA",39.85%,21.05%,25662,
"LAFAYETTE, WI",39.81%,18.15%,2160,
"COWLITZ, WA",39.77%,12.30%,18299,
"BAYFIELD, WI",39.76%,22.17%,6539,
"PUTNAM, WV",39.69%,19.16%,13081,
"ISLAND, WA",39.67%,14.14%,13991,
"LANGLADE, WI",39.67%,22.23%,1084,
"SAWYER, WI",39.63%,24.32%,6664,
"SPOTSYLVANIA, VA",39.53%,20.33%,11960,
"SKAMANIA, WA",39.16%,13.66%,2804,
"ASHLAND, WI",39.11%,21.60%,6339,
"COLUMBIA, WI",39.01%,20.05%,18027,
"KING GEORGE, VA",38.86%,18.73%,2007,
"TAYLOR, WI",38.77%,17.75%,552,
"CAMPBELL, WY",38.68%,20.16%,13083,
"LINCOLN, WA",38.63%,13.71%,321,
"SAINT CROIX, WI",38.54%,27.30%,5729,
"JAMES CITY, VA",38.50%,26.24%,46226,
"WILLIAMSBURG CITY, VA",38.44%,26.89%,5239,
"JUNEAU, WI",38.25%,21.50%,8371,
"WESTON, WY",38.22%,12.17%,1159,
"FREDERICKSBURG CITY, VA",38.22%,18.17%,1761,
"WYOMING, WV",38.20%,15.09%,1822,
"ORANGE, VT",38.08%,19.06%,12201,
"OUTAGAMIE, WI",38.07%,22.98%,27999,
"LA CROSSE, WI",37.92%,24.08%,53220,
"JACKSON, WI",37.88%,20.84%,5024,
"OKANOGAN, WA",37.87%,20.79%,17204,
"HARRISONBURG CITY, VA",37.65%,22.02%,17245,
"DOUGLAS, WA",37.65%,23.78%,21720,
"GRAYS HARBOR, WA",37.55%,15.20%,783,
"WAUPACA, WI",37.44%,25.06%,4848,
"LINCOLN, WY",37.38%,17.48%,6686,
"CARBON, WY",37.36%,15.85%,2069,
"VILAS, WI",37.36%,20.17%,1036,
"SWEETWATER, WY",37.27%,15.02%,3689,
"IRON, WI",37.13%,18.77%,991,
"STAUNTON CITY, VA",36.95%,17.39%,7757,
"UINTAH, UT",36.92%,15.14%,2080,
"SAUK, WI",36.85%,16.44%,10108,
"IOWA, WI",36.76%,18.98%,4568,
"ESSEX, VT",36.69%,12.64%,1044,
"RAPPAHANNOCK, VA",36.50%,18.48%,2970,
"SNOHOMISH, WA",36.26%,16.06%,82726,
"FRANKLIN, VT",36.17%,14.15%,12650,
"HIGHLAND, VA",35.90%,15.24%,571,
"CHELAN, WA",35.79%,21.70%,39283,
"FLOYD, VA",35.78%,9.88%,668,
"KITTITAS, WA",35.77%,18.95%,4576,
"LINCOLN, WI",35.75%,16.84%,772,
"FRANKLIN, VA",35.74%,14.86%,1676,
"GREEN, WI",35.73%,20.94%,9853,
"WINDSOR, VT",35.58%,17.45%,27606,
"PACIFIC, WA",35.38%,11.98%,2086,
"MONTGOMERY, VA",35.30%,7.44%,3966,
"SPOKANE, WA",35.17%,12.53%,5786,
"GRAND ISLE, VT",35.13%,14.87%,3160,
"CONVERSE, WY",35.08%,14.80%,419,
"FRANKLIN, WA",34.96%,12.60%,492,
"PARK, WY",34.85%,8.81%,8014,
"WHATCOM, WA",34.83%,16.23%,34164,
"LOUDOUN, VA",34.82%,23.56%,115707,
"WAUKESHA, WI",34.65%,24.83%,174513,
"LEWIS, WA",34.61%,10.89%,1644,
"RICH, UT",34.58%,17.08%,720,
