Session Title,OBESITY by ICD and BMI County FLKS Age 2026,,,
Session ID,2818140,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"KALAWAO, HI",,,10 or fewer,
"PULASKI, IN",47.55%,21.92%,511,
"MADISON, IN",47.53%,30.43%,42292,
"BAKER, FL",47.51%,31.07%,5952,
"CHATTOOGA, GA",47.49%,30.94%,14877,
"HEARD, GA",47.47%,27.69%,2629,
"WILKES, GA",47.46%,21.85%,1808,
"DOUGLAS, GA",47.42%,27.82%,54449,
"FAYETTE, IL",47.41%,22.90%,3860,
"HARDIN, IA",47.41%,26.71%,2991,
"STEVENS, KS",47.37%,11.58%,95,
"MASON, IL",47.37%,24.07%,3456,
"PUTNAM, IN",47.36%,25.51%,9765,
"CLINTON, IA",47.35%,31.49%,15572,
"PARKE, IN",47.35%,23.77%,1094,
"LINCOLN, GA",47.34%,21.02%,2146,
"KNOX, IN",47.34%,24.09%,20615,
"JAY, IN",47.33%,25.26%,974,
"MONTGOMERY, IN",47.33%,23.61%,1796,
"KNOX, IL",47.33%,25.50%,26692,
"GRANT, IN",47.32%,24.57%,5784,
"NEWTON, IN",47.31%,23.27%,782,
"GREENE, IA",47.27%,24.61%,1227,
"MINIDOKA, ID",47.26%,25.75%,8117,
"MERCER, IL",47.24%,27.38%,5288,
"MARION, IL",47.19%,22.30%,2085,
"FLOYD, IN",47.19%,28.77%,36844,
"GIBSON, IN",47.19%,36.77%,19918,
"FREMONT, IA",47.18%,19.35%,708,
"BOONE, IA",47.17%,25.93%,3960,
"BUCHANAN, IA",47.16%,30.85%,7362,
"LABETTE, KS",47.13%,21.06%,679,
"CALHOUN, IL",47.12%,20.86%,278,
"WILKINSON, GA",47.11%,18.73%,2386,
"GUTHRIE, IA",47.10%,27.16%,2121,
"JEFFERSON, KS",47.09%,29.10%,8119,
"FORD, KS",47.06%,17.96%,323,
"AUDUBON, IA",47.04%,22.13%,574,
"EDWARDS, IL",47.02%,24.85%,1461,
"VERMILION, IL",46.94%,28.72%,43205,
"CEDAR, IA",46.91%,28.22%,10223,
"POTTAWATOMIE, KS",46.91%,25.86%,5494,
"MARSHALL, KS",46.89%,23.03%,1446,
"PIKE, GA",46.88%,25.60%,3968,
"DELAWARE, IN",46.82%,26.08%,7238,
"FAYETTE, IA",46.79%,30.94%,9031,
"WARREN, IN",46.79%,27.36%,592,
"WASHINGTON, KS",46.79%,16.67%,654,
"BAKER, GA",46.75%,20.78%,154,
"BUTTS, GA",46.75%,29.59%,6958,
"UPSON, GA",46.74%,24.39%,3010,
"ELBERT, GA",46.73%,23.58%,4368,
"JACKSON, KS",46.70%,26.87%,4741,
"MARSHALL, IN",46.68%,27.95%,13826,
"BARBER, KS",46.67%,18.67%,75,
"MIAMI, KS",46.67%,30.88%,14409,
"CRAWFORD, KS",46.63%,20.85%,1679,
"MONTGOMERY, IL",46.63%,20.45%,5271,
"WHITE, IN",46.59%,29.75%,279,
"MUSCOGEE, GA",46.57%,25.97%,44216,
"VERMILLION, IN",46.57%,22.30%,816,
"POLK, GA",46.56%,34.66%,27932,
"SHAWNEE, KS",46.55%,31.36%,107276,
"MONTGOMERY, KS",46.55%,22.30%,1233,
"DECATUR, IA",46.50%,30.55%,3041,
"NORTON, KS",46.50%,16.36%,428,
"MORGAN, IN",46.49%,26.20%,8713,
"BLACKFORD, IN",46.47%,24.89%,695,
"DICKINSON, KS",46.46%,25.33%,1907,
"MENARD, IL",46.39%,22.87%,1399,
"DEARBORN, IN",46.38%,28.86%,34020,
"JACKSON, FL",46.37%,18.72%,4583,
"MONROE, IA",46.36%,23.67%,1428,
"HARRISON, IA",46.34%,20.69%,1189,
"CARROLL, IA",46.34%,19.13%,1694,
"PAYETTE, ID",46.34%,32.56%,13643,
"BENTON, IA",46.34%,27.84%,11999,
"CASS, IA",46.30%,21.77%,1121,
"CHICKASAW, IA",46.24%,29.26%,3882,
"ANDERSON, KS",46.17%,21.36%,3409,
"HENRY, IL",46.17%,23.91%,19761,
"GREENWOOD, KS",46.17%,22.68%,613,
"BARROW, GA",46.15%,33.37%,33841,
"BARTHOLOMEW, IN",46.11%,22.67%,41194,
"FULTON, IL",46.09%,21.62%,10064,
"POWESHIEK, IA",46.07%,29.51%,8275,
"MONTGOMERY, IA",46.04%,23.51%,821,
"MARION, KS",45.98%,24.11%,224,
"WALKER, GA",45.96%,23.45%,13633,
"GEARY, KS",45.94%,26.38%,11138,
"FOUNTAIN, IN",45.93%,22.10%,1439,
"KINGMAN, KS",45.92%,13.27%,98,
"BALDWIN, GA",45.91%,20.23%,11154,
"MADISON, FL",45.91%,28.11%,2764,
"BARTON, KS",45.89%,19.79%,12180,
"HOWARD, IN",45.89%,28.31%,25716,
"JASPER, IN",45.88%,23.83%,2186,
"ADAIR, IA",45.81%,27.28%,1085,
"WINNEBAGO, IL",45.80%,24.04%,157301,
"CLINTON, IL",45.80%,27.53%,15706,
"CLAYTON, IA",45.77%,24.78%,4955,
"KEOKUK, IA",45.77%,22.97%,3996,
"LOUISA, IA",45.76%,24.70%,4550,
"MAHASKA, IA",45.74%,26.02%,10393,
"LINCOLN, KS",45.71%,17.14%,70,
"TAYLOR, FL",45.71%,29.24%,3126,
"ROCK ISLAND, IL",45.59%,32.41%,60413,
"CLOUD, KS",45.58%,17.35%,294,
"RICHLAND, IL",45.54%,25.26%,7822,
"MCLEAN, IL",45.53%,25.12%,83456,
"BANKS, GA",45.52%,30.83%,9284,
"DEKALB, IL",45.48%,24.33%,14867,
"COWLEY, KS",45.45%,22.05%,440,
"STEUBEN, IN",45.43%,22.59%,12617,
"GRUNDY, IA",45.43%,29.53%,7077,
"FINNEY, KS",45.42%,19.93%,557,
"RILEY, KS",45.38%,24.11%,12390,
"DAVIESS, IN",45.36%,23.17%,8044,
"HART, GA",45.27%,25.61%,8847,
"IOWA, IA",45.26%,25.46%,6735,
"JENKINS, GA",45.24%,20.03%,694,
"WEBSTER, IA",45.23%,29.22%,20489,
"JONES, GA",45.17%,16.20%,4729,
"RIPLEY, IN",45.15%,26.33%,11258,
"CERRO GORDO, IA",45.12%,29.28%,14130,
"BOONE, IL",45.11%,21.46%,28890,
"DECATUR, GA",45.11%,24.16%,1461,
"SHELBY, IL",45.10%,24.36%,6009,
"GLADES, FL",45.09%,35.75%,1628,
"TAZEWELL, IL",45.08%,24.51%,78199,
"BRADFORD, FL",45.08%,23.92%,6087,
"FRANKLIN, GA",45.02%,31.17%,11153,
"EARLY, GA",45.01%,21.60%,1213,
"GRAHAM, KS",45.00%,14.00%,100,
"JASPER, IL",44.96%,21.32%,3016,
"JONES, IA",44.94%,25.05%,9930,
"DADE, GA",44.92%,20.97%,2709,
"WABASH, IL",44.91%,26.55%,2467,
"ELLSWORTH, KS",44.91%,20.00%,285,
"KEARNY, KS",44.90%,,49,
"JEFFERSON, FL",44.87%,37.45%,4061,
"CRAWFORD, GA",44.86%,16.93%,1400,
"WAYNE, IL",44.85%,21.92%,1195,
"PEACH, GA",44.84%,17.79%,6381,
"SULLIVAN, IN",44.79%,18.76%,922,
"MONROE, GA",44.74%,21.10%,7030,
"HARRIS, GA",44.72%,24.32%,8113,
"OGLETHORPE, GA",44.72%,24.20%,4202,
"WAKULLA, FL",44.71%,26.01%,9600,
"FLOYD, IA",44.69%,27.49%,3157,
"MOULTRIE, IL",44.69%,25.30%,3383,
"BLACK HAWK, IA",44.68%,32.72%,76306,
"BARTOW, GA",44.67%,36.71%,54771,
"CARROLL, IN",44.67%,23.68%,853,
"MARION, IN",44.66%,26.63%,243450,
"MACON, GA",44.63%,20.97%,782,
"MIAMI, IN",44.61%,24.14%,6546,
"HUMBOLDT, IA",44.61%,27.37%,5089,
"CLAY, GA",44.61%,15.98%,482,
"WINNEBAGO, IA",44.59%,23.61%,2478,
"FRANKLIN, IN",44.59%,28.98%,7423,
"HERNANDO, FL",44.58%,28.62%,27583,
"NOBLE, IN",44.57%,25.34%,24230,
"THOMAS, KS",44.55%,21.81%,4296,
"LUCAS, IA",44.54%,22.03%,1693,
"CLAY, IL",44.53%,17.95%,2423,
"WOODFORD, IL",44.52%,23.20%,21459,
"COWETA, GA",44.50%,26.99%,61150,
"TERRELL, GA",44.49%,18.37%,245,
"STEPHENS, GA",44.47%,39.22%,14331,
"WHITE, GA",44.47%,38.05%,14963,
"COMANCHE, KS",,,18,
"ROOKS, KS",44.44%,15.20%,171,
"WALTON, GA",44.44%,24.95%,29221,
"HANCOCK, IN",44.42%,30.13%,24106,
"PIKE, IL",44.41%,15.03%,286,
"LA PORTE, IN",44.40%,23.92%,4198,
"BENEWAH, ID",44.40%,17.54%,1642,
"POLK, FL",44.39%,34.08%,246318,
"FORD, IL",44.36%,26.02%,4515,
"CHEYENNE, KS",44.33%,15.46%,388,
"TREGO, KS",44.33%,15.46%,97,
"TIPTON, IN",44.32%,25.01%,1979,
"HUNTINGTON, IN",44.24%,26.38%,20486,
"HIGHLANDS, FL",44.21%,45.41%,34255,
"SALINE, KS",44.17%,19.97%,1277,
"JACKSON, IA",44.14%,24.38%,4348,
