Session Title,OBESITY by ICD and BMI County Age 2025,,,
Session ID,2776887,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence (U.S.): States AL-DE,Has Any Encounters?,Base Patient,
Session Date Range,1/1/2025 - 10/30/2025,,,
Export User,Stephanie Perniciaro,,,
Date of Export,11/14/2025,,,
,,,,
,,,,
,Measures,BMI 30+ (%),OBESITY (%),Number of Patients
Age at Encounter in Years,County of Residence,,,
Less than 18 Years,"PERRY, AL",-,-,10 or fewer
,"MARIN, CA",6.13%,20.92%,14853
,"SANTA CLARA, CA",5.00%,7.18%,83716
,"TUOLUMNE, CA",8.07%,4.65%,409
,"GILPIN, CO",-,-,192
,"YOLO, CA",5.08%,5.42%,8795
,"SITKA, AK",-,-,11
,"GARFIELD, CO",5.77%,5.22%,901
,"CLEAR CREEK, CO",-,-,157
,"MONO, CA",-,-,47
,"BUTTE, CA",6.56%,-,427
,"MINERAL, CO",-,-,10 or fewer
,"CHAFFEE, CO",3.35%,-,358
,"SAN MATEO, CA",4.40%,8.35%,45855
,"EL DORADO, CA",2.50%,1.21%,2157
,"ARCHULETA, CO",-,-,113
,"SAN LUIS OBISPO, CA",5.78%,6.15%,1350
,"BOULDER, CO",2.40%,1.95%,30041
,"ANCHORAGE, AK",-,-,115
,"GRAND, CO",3.72%,-,376
,"SAN JUAN, CO",-,-,10 or fewer
,"STANISLAUS, CA",9.23%,8.16%,8859
,"CARROLL, AR",6.02%,4.58%,830
,"WRANGELL, AK",-,-,10 or fewer
,"SUMMIT, CO",3.49%,4.75%,631
,"PLACER, CA",2.52%,2.66%,3571
,"SAN FRANCISCO, CA",5.32%,15.21%,35367
,"HINSDALE, CO",-,-,10 or fewer
,"LAKE AND PENINSULA, AK",-,-,10 or fewer
,"ROUTT, CO",2.16%,1.67%,2873
,"WASHINGTON, AR",5.90%,6.78%,16783
,"OURAY, CO",-,-,30
,"LA PLATA, CO",7.54%,6.62%,544
,"GUNNISON, CO",2.66%,-,902
,"VENTURA, CA",2.60%,2.38%,3114
,"EAGLE, CO",4.21%,3.43%,641
,"MADISON, AR",5.40%,5.40%,1018
,"COCONINO, AZ",-,-,245
,"NEVADA, CA",3.22%,-,404
,"BENTON, AR",5.12%,5.15%,17485
,"PITKIN, CO",-,-,581
,"SAN MIGUEL, CO",-,-,105
,None of the above,5.17%,5.71%,335896
,Total,6.06%,7.52%,2762324
≥ 18 and < 25 Years,"PERRY, AL",-,-,10 or fewer
,"WALKER, AL",-,-,23
,"CLEBURNE, AL",43.24%,-,37
,"CHOCTAW, AL",48.04%,14.50%,331
,"MARENGO, AL",37.93%,-,58
,"TALLADEGA, AL",39.34%,-,61
,"COOSA, AL",-,-,10 or fewer
,"CALHOUN, AL",38.42%,16.84%,190
,"WILCOX, AL",-,-,23
,"CLARKE, AL",38.46%,20.51%,117
,"BLOUNT, AL",23.08%,-,52
,"BUTLER, AL",-,-,16
,"CHAMBERS, AL",38.19%,19.10%,199
,"WASHINGTON, AL",34.66%,12.50%,176
,"MACON, AL",40.82%,22.45%,49
,"CHEROKEE, AL",26.09%,25.00%,92
,"MISSISSIPPI, AR",43.57%,23.78%,677
,"CLAY, AL",-,-,18
,"LOWNDES, AL",-,-,10 or fewer
,"GREENE, AL",31.71%,-,41
,"MOBILE, AL",36.09%,18.58%,5049
,"SUMTER, AL",39.50%,16.50%,200
,"RANDOLPH, AL",40.98%,16.39%,122
,"CONECUH, AL",54.41%,32.35%,68
,"SAINT FRANCIS, AR",40.74%,27.31%,216
,"PICKENS, AL",39.22%,11.27%,204
,"ETOWAH, AL",41.84%,21.43%,392
,"MONROE, AL",40.80%,16.80%,125
,"HALE, AL",50.00%,33.33%,42
,"ALPINE, CA",-,-,26
,"NEVADA, AR",39.23%,13.81%,181
,"BARBOUR, AL",42.74%,-,124
,"ALEUTIANS EAST, AK",-,-,10 or fewer
,"KENT, DE",36.95%,18.92%,6849
,"LAWRENCE, AR",40.08%,22.27%,247
,"POINSETT, AR",45.79%,22.79%,961
,"RANDOLPH, AR",40.00%,26.25%,160
,"JACKSON, AL",30.77%,-,91
,"OUACHITA, AR",41.97%,17.87%,722
,"SAINT CLAIR, AL",30.61%,-,49
,"PIKE, AL",30.23%,-,43
,"FAYETTE, AL",-,-,20
,"WINSTON, AL",-,-,25
,"PERRY, AR",30.34%,14.96%,234
,"AUTAUGA, AL",-,-,35
,"CROSS, AR",44.79%,33.70%,451
,"JACKSON, AR",40.68%,18.64%,177
,"MARSHALL, AL",37.33%,26.67%,75
,"BRISTOL BAY, AK",-,-,10 or fewer
,"CROWLEY, CO",43.18%,-,44
,"MONROE, AR",37.50%,17.26%,168
,"DALE, AL",40.98%,11.71%,427
,"CLARK, AR",37.45%,16.73%,801
,"SUSSEX, DE",37.43%,18.91%,7548
,"PHILLIPS, AR",38.95%,20.35%,172
,"COLBERT, AL",-,-,27
,"GREENE, AR",35.85%,17.64%,1060
