Session Title,OBESITY by ICD and BMI County NCTX Age 2026,,,
Session ID,2818143,,,
Data Model,Patients,,,
Population Base,All Patients,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"State of Residence: North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas",Country of Residence: United States of America,Has Any Encounters?,Base Patient
Session Date Range,1/1/2026 - 3/30/2026,,,
Export User,Stephanie Perniciaro,,,
Date of Export,5/4/2026,,,
,,,,
,,,,
Measures,BMI 30+ (%),OBESITY (%),Number of Patients,
County of Residence,,,,
"OKFUSKEE, OK",44.70%,31.88%,2698,
"MONTGOMERY, NC",44.68%,30.59%,7855,
"HORRY, SC",44.66%,23.95%,88542,
"HARDIN, TN",44.66%,29.90%,3612,
"MARION, TX",44.64%,19.03%,289,
"SULLIVAN, TN",44.63%,19.32%,58507,
"UMATILLA, OR",44.63%,18.28%,18196,
"NOBLE, OK",44.57%,20.63%,1207,
"HUTCHINSON, TX",44.56%,13.37%,2206,
"COKE, TX",44.56%,24.09%,1764,
"SHELBY, TX",44.56%,15.82%,1580,
"GRADY, OK",44.53%,22.07%,6503,
"STEPHENS, OK",44.52%,18.09%,2747,
"HOWARD, TX",44.48%,33.19%,2302,
"ANDERSON, TX",44.48%,19.97%,5497,
"MONROE, TN",44.46%,22.70%,3538,
"SUTTON, TX",44.44%,21.36%,1161,
"OSAGE, OK",44.43%,26.33%,4486,
"WAYNE, PA",44.43%,20.07%,7095,
"SCOTLAND, NC",44.38%,21.37%,2812,
"BUTLER, OH",44.33%,28.16%,227230,
"MOUNTRAIL, ND",44.32%,24.75%,2234,
"JEFFERSON, OR",44.31%,28.84%,14569,
"LATIMER, OK",44.31%,16.22%,2318,
"BLAINE, OK",44.30%,18.74%,1158,
"YANCEY, NC",44.30%,17.29%,1648,
"DIVIDE, ND",44.29%,19.67%,910,
"WOODWARD, OK",44.27%,20.40%,5516,
"HANCOCK, OH",44.24%,24.46%,12401,
"PERSON, NC",44.18%,25.47%,15451,
"RED RIVER, TX",44.17%,14.57%,858,
"FANNIN, TX",44.17%,21.74%,3745,
"LOGAN, ND",44.14%,32.67%,802,
"ROGER MILLS, OK",44.13%,17.77%,349,
"OTTAWA, OK",44.12%,24.20%,13376,
"PENDER, NC",44.12%,29.71%,19744,
"SPARTANBURG, SC",44.10%,33.91%,202413,
"ONSLOW, NC",44.10%,25.43%,27774,
"BRUNSWICK, NC",44.07%,33.29%,88253,
"CLEARFIELD, PA",44.04%,16.16%,3583,
"RICHLAND, ND",44.01%,35.06%,10359,
"MOORE, TN",44.00%,,25,
"CUSTER, OK",44.00%,18.15%,2491,
"REAGAN, TX",44.00%,20.73%,1066,
"WASHITA, OK",43.98%,13.80%,855,
"PEMBINA, ND",43.97%,24.10%,4269,
"COLUMBIA, PA",43.96%,20.67%,2675,
"CRAVEN, NC",43.92%,29.26%,33339,
"BELL, TX",43.91%,27.80%,191521,
"JACKSON, TN",43.90%,,41,
"BURKE, NC",43.90%,24.72%,31273,
"STUTSMAN, ND",43.89%,43.00%,13234,
"GRANT, OR",43.88%,23.37%,1823,
"SHELBY, TN",43.87%,23.47%,252396,
"GREENWOOD, SC",43.86%,27.12%,47020,
"SEVIER, TN",43.84%,22.08%,1567,
"SAN SABA, TX",43.77%,23.83%,2102,
"GREENE, OH",43.73%,30.57%,91953,
"SHERIDAN, ND",43.73%,22.67%,375,
"CANADIAN, OK",43.73%,24.46%,41236,
"COCKE, TN",43.73%,17.15%,1283,
"LORAIN, OH",43.72%,34.69%,186605,
"WAYNE, TN",43.71%,17.37%,167,
"MADISON, NC",43.70%,17.54%,6829,
"JEFFERSON, TN",43.67%,17.90%,648,
"GARZA, TX",43.66%,,71,
"RICHLAND, SC",43.65%,25.82%,157961,
"TRINITY, TX",43.58%,25.02%,1395,
"GRIGGS, ND",43.58%,28.36%,1347,
"HUGHES, OK",43.58%,20.67%,1292,
"STANLY, NC",43.56%,29.82%,38310,
"WOOD, OH",43.53%,25.96%,59114,
"BRADFORD, PA",43.48%,21.11%,37818,
"KINGFISHER, OK",43.43%,21.93%,3753,
"OVERTON, TN",43.42%,17.11%,76,
"ARMSTRONG, PA",43.41%,16.94%,26574,
"LAMAR, TX",43.41%,14.93%,2732,
