time,geography,state,age,epic_n_ed_heat,epic_rate_ed_heat,suppressed_heat
2024-01-01,17,Illinois,25-45 Years,268,87.04407418233785,0
2025-01-01,17,Illinois,25-45 Years,401,145.7344507519316,0
2022-01-01,17,Illinois,45-64 Years,243,101.47790245593228,0
2023-01-01,17,Illinois,45-64 Years,253,101.0855711334769,0
2024-01-01,17,Illinois,45-64 Years,245,91.0641872428366,0
2025-01-01,17,Illinois,45-64 Years,369,152.25284700445619,0
2022-01-01,17,Illinois,65+ Years,256,102.15523605441362,0
2023-01-01,17,Illinois,65+ Years,205,76.288721177749,0
2024-01-01,17,Illinois,65+ Years,276,93.12809161644724,0
2025-01-01,17,Illinois,65+ Years,392,140.89923907222163,0
2022-01-01,17,Illinois,Total,998,87.95539832867117,0
2023-01-01,17,Illinois,Total,943,80.26003229125796,0
2024-01-01,17,Illinois,Total,1008,80.07320979180966,0
2025-01-01,17,Illinois,Total,1440,127.3165646807935,0
2022-01-01,26,Michigan,<15 Years,37,23.75784972196895,0
2023-01-01,26,Michigan,<15 Years,34,22.417828767349093,0
2024-01-01,26,Michigan,<15 Years,41,24.044241404183698,0
2025-01-01,26,Michigan,<15 Years,58,35.220889631091545,0
2022-01-01,26,Michigan,15-25 Years,88,72.00602232186692,0
2023-01-01,26,Michigan,15-25 Years,91,74.75929151194505,0
2024-01-01,26,Michigan,15-25 Years,142,102.2023895206564,0
2025-01-01,26,Michigan,15-25 Years,160,119.68791376485814,0
2022-01-01,26,Michigan,25-45 Years,149,60.21832172749795,0
2023-01-01,26,Michigan,25-45 Years,159,62.339984238570025,0
2024-01-01,26,Michigan,25-45 Years,224,75.25617335797077,0
2025-01-01,26,Michigan,25-45 Years,336,113.76872443589674,0
2022-01-01,26,Michigan,45-64 Years,142,64.25164927649023,0
2023-01-01,26,Michigan,45-64 Years,135,59.53640982218459,0
2024-01-01,26,Michigan,45-64 Years,231,87.42185016424712,0
2025-01-01,26,Michigan,45-64 Years,284,108.06738229597525,0
2022-01-01,26,Michigan,65+ Years,136,59.73505745106996,0
2023-01-01,26,Michigan,65+ Years,135,55.5402419908914,0
2024-01-01,26,Michigan,65+ Years,255,87.15952243417748,0
2025-01-01,26,Michigan,65+ Years,335,112.14214938003803,0
2022-01-01,26,Michigan,Total,548,56.41173981835008,0
2023-01-01,26,Michigan,Total,548,55.06159765043723,0
2024-01-01,26,Michigan,Total,885,76.27160274646715,0
2025-01-01,26,Michigan,Total,1166,101.0919841686138,0
2022-01-01,13,Georgia,<15 Years,57,25.638488318744884,0
2023-01-01,13,Georgia,<15 Years,66,27.611019306796077,0
2024-01-01,13,Georgia,<15 Years,75,31.33093825716434,0
2025-01-01,13,Georgia,<15 Years,96,46.19693367852709,0
2022-01-01,13,Georgia,15-25 Years,120,116.38507943281671,0
2023-01-01,13,Georgia,15-25 Years,174,137.2596969242784,0
2024-01-01,13,Georgia,15-25 Years,149,111.42102941066501,0
2025-01-01,13,Georgia,15-25 Years,179,147.16279987503495,0
2022-01-01,13,Georgia,25-45 Years,185,98.79575979279592,0
2023-01-01,13,Georgia,25-45 Years,280,111.99686408780555,0
2024-01-01,13,Georgia,25-45 Years,309,117.0170867668444,0
