Session Title,Heat Opioid OD Firearm ED visits 2022-2025,,,,,
Session ID,2782575,,,,,
Data Model,Patients,,,,,
Population Base,All Patients,,,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,"Encounter Type: Emergency, Emergency to Inpatient",,,,,
Session Date Range,1/1/2022 - 11/12/2025,,,,,
Measure,Number of Patients,,,,,
Export User,Stephanie Perniciaro,,,,,
Date of Export,12/8/2025,,,,,
,,,,,,
,,,,,,
,,Diagnosis (Encounter),OPIOID OD,Heat,firearms initial,"Total: Total includes all data, including data from columns not currently displayed."
State of Residence,Age at Encounter in Years,Year,,,,
,,Jan 1 – Nov 12 2025,1231,784,1059,579834
,≥ 45 and < 65 Years,Jan 1 – Dec 31 2022,1340,374,365,465630
,,Jan 1 – Dec 31 2023,1254,280,388,500905
,,Jan 1 – Dec 31 2024,909,564,468,544656
,,Jan 1 – Nov 12 2025,741,733,358,500473
,65 Years or more,Jan 1 – Dec 31 2022,268,351,104,439208
,,Jan 1 – Dec 31 2023,316,285,120,500024
,,Jan 1 – Dec 31 2024,301,701,144,572700
,,Jan 1 – Nov 12 2025,252,865,125,540929
,No value,Jan 1 – Dec 31 2022,10 or fewer,10 or fewer,10 or fewer,4241
,,Jan 1 – Dec 31 2023,10 or fewer,10 or fewer,10 or fewer,3417
,,Jan 1 – Dec 31 2024,10 or fewer,10 or fewer,10 or fewer,3892
,,Jan 1 – Nov 12 2025,10 or fewer,10 or fewer,10 or fewer,4313
,"Total: Total includes all data under the Ohio bucket, including data from rows not currently displayed.",Jan 1 – Dec 31 2022,4924,1414,2674,2022123
,,Jan 1 – Dec 31 2023,4537,1147,2767,2186634
,,Jan 1 – Dec 31 2024,3163,2255,2814,2404717
,,Jan 1 – Nov 12 2025,2320,2887,2319,2190919
Pennsylvania,Less than 15 Years,Jan 1 – Dec 31 2022,19,73,62,273594
,,Jan 1 – Dec 31 2023,23,85,54,284439
,,Jan 1 – Dec 31 2024,18,97,45,286071
,,Jan 1 – Nov 12 2025,10 or fewer,98,36,244384
,≥ 15 and < 25 Years,Jan 1 – Dec 31 2022,198,149,742,181744
,,Jan 1 – Dec 31 2023,165,153,577,194181
,,Jan 1 – Dec 31 2024,101,196,430,198856
,,Jan 1 – Nov 12 2025,66,218,384,175484
,≥ 25 and < 45 Years,Jan 1 – Dec 31 2022,1505,242,1070,379384
,,Jan 1 – Dec 31 2023,1293,238,861,413325
,,Jan 1 – Dec 31 2024,1315,357,707,426694
,,Jan 1 – Nov 12 2025,1226,425,622,386222
,≥ 45 and < 65 Years,Jan 1 – Dec 31 2022,837,210,263,342790
,,Jan 1 – Dec 31 2023,798,219,254,370562
,,Jan 1 – Dec 31 2024,803,324,239,377083
,,Jan 1 – Nov 12 2025,779,344,212,342136
,65 Years or more,Jan 1 – Dec 31 2022,187,254,137,359682
,,Jan 1 – Dec 31 2023,213,259,115,400176
,,Jan 1 – Dec 31 2024,205,441,118,422428
,,Jan 1 – Nov 12 2025,238,431,102,395993
,No value,Jan 1 – Dec 31 2022,10 or fewer,10 or fewer,10 or fewer,4186
,,Jan 1 – Dec 31 2023,10 or fewer,10 or fewer,10 or fewer,3617
,,Jan 1 – Dec 31 2024,10 or fewer,10 or fewer,10 or fewer,3874
,,Jan 1 – Nov 12 2025,10 or fewer,10 or fewer,10 or fewer,4214
,"Total: Total includes all data under the Pennsylvania bucket, including data from rows not currently displayed.",Jan 1 – Dec 31 2022,2720,922,2271,1534586
,,Jan 1 – Dec 31 2023,2458,948,1850,1658463
,,Jan 1 – Dec 31 2024,2403,1403,1534,1706788
,,Jan 1 – Nov 12 2025,2286,1506,1359,1542912
New York,Less than 15 Years,Jan 1 – Dec 31 2022,10 or fewer,55,18,186205
,,Jan 1 – Dec 31 2023,10 or fewer,42,17,190915
,,Jan 1 – Dec 31 2024,10 or fewer,72,13,199445
,,Jan 1 – Nov 12 2025,10 or fewer,78,14,176770
,≥ 15 and < 25 Years,Jan 1 – Dec 31 2022,148,103,281,161401
,,Jan 1 – Dec 31 2023,136,110,209,172522
,,Jan 1 – Dec 31 2024,86,141,217,180692
,,Jan 1 – Nov 12 2025,63,171,181,163227
,≥ 25 and < 45 Years,Jan 1 – Dec 31 2022,1046,153,473,342334
,,Jan 1 – Dec 31 2023,1166,175,382,381183
,,Jan 1 – Dec 31 2024,826,208,342,401227
,,Jan 1 – Nov 12 2025,668,364,251,368266
,≥ 45 and < 65 Years,Jan 1 – Dec 31 2022,740,159,111,303032
,,Jan 1 – Dec 31 2023,825,173,118,327800
,,Jan 1 – Dec 31 2024,647,268,108,341440
,,Jan 1 – Nov 12 2025,485,338,91,318534
,65 Years or more,Jan 1 – Dec 31 2022,158,188,28,301479
,,Jan 1 – Dec 31 2023,211,187,26,332009
,,Jan 1 – Dec 31 2024,166,314,37,361292
,,Jan 1 – Nov 12 2025,189,467,36,356006
,No value,Jan 1 – Dec 31 2022,10 or fewer,10 or fewer,10 or fewer,3663
,,Jan 1 – Dec 31 2023,10 or fewer,10 or fewer,10 or fewer,3614
,,Jan 1 – Dec 31 2024,10 or fewer,10 or fewer,10 or fewer,3783
,,Jan 1 – Nov 12 2025,10 or fewer,10 or fewer,10 or fewer,4258
,"Total: Total includes all data under the New York bucket, including data from rows not currently displayed.",Jan 1 – Dec 31 2022,2072,653,908,1292945
,,Jan 1 – Dec 31 2023,2312,682,751,1401976
,,Jan 1 – Dec 31 2024,1701,1000,713,1481569
,,Jan 1 – Nov 12 2025,1401,1409,572,1382085
North Carolina,Less than 15 Years,Jan 1 – Dec 31 2022,18,69,57,219898
,,Jan 1 – Dec 31 2023,27,77,70,228956
,,Jan 1 – Dec 31 2024,26,88,62,229413
,,Jan 1 – Nov 12 2025,16,65,50,196320
,≥ 15 and < 25 Years,Jan 1 – Dec 31 2022,334,182,666,160818
,,Jan 1 – Dec 31 2023,354,227,744,169028
,,Jan 1 – Dec 31 2024,230,282,709,182283
,,Jan 1 – Nov 12 2025,171,322,504,162903
,≥ 25 and < 45 Years,Jan 1 – Dec 31 2022,1470,388,813,330817
,,Jan 1 – Dec 31 2023,1644,418,839,355277
,,Jan 1 – Dec 31 2024,1081,546,904,383161
,,Jan 1 – Nov 12 2025,895,661,678,352155
,≥ 45 and < 65 Years,Jan 1 – Dec 31 2022,709,317,239,279604
,,Jan 1 – Dec 31 2023,825,395,266,302159
,,Jan 1 – Dec 31 2024,541,434,314,328352
,,Jan 1 – Nov 12 2025,455,578,265,303991
,65 Years or more,Jan 1 – Dec 31 2022,187,275,54,263831
,,Jan 1 – Dec 31 2023,217,306,75,298600
,,Jan 1 – Dec 31 2024,207,443,94,339288
,,Jan 1 – Nov 12 2025,193,547,79,324816
,No value,Jan 1 – Dec 31 2022,10 or fewer,10 or fewer,10 or fewer,2930
,,Jan 1 – Dec 31 2023,10 or fewer,10 or fewer,10 or fewer,2895
,,Jan 1 – Dec 31 2024,10 or fewer,10 or fewer,10 or fewer,3218
,,Jan 1 – Nov 12 2025,10 or fewer,10 or fewer,10 or fewer,3518
,"Total: Total includes all data under the North Carolina bucket, including data from rows not currently displayed.",Jan 1 – Dec 31 2022,2679,1216,1822,1251746
,,Jan 1 – Dec 31 2023,3026,1411,1984,1350056
,,Jan 1 – Dec 31 2024,2065,1777,2075,1458219
,,Jan 1 – Nov 12 2025,1712,2157,1571,1338251
California,Less than 15 Years,Jan 1 – Dec 31 2022,11,48,13,180317
,,Jan 1 – Dec 31 2023,16,57,27,183832
,,Jan 1 – Dec 31 2024,17,71,27,206231
,,Jan 1 – Nov 12 2025,11,54,17,186942
,≥ 15 and < 25 Years,Jan 1 – Dec 31 2022,225,115,353,120754
,,Jan 1 – Dec 31 2023,215,95,311,131108
,,Jan 1 – Dec 31 2024,164,174,302,171227
,,Jan 1 – Nov 12 2025,111,125,215,157284
,≥ 25 and < 45 Years,Jan 1 – Dec 31 2022,865,199,598,256165
,,Jan 1 – Dec 31 2023,1169,191,572,290732
,,Jan 1 – Dec 31 2024,1022,394,537,383881
,,Jan 1 – Nov 12 2025,796,254,342,355536
,≥ 45 and < 65 Years,Jan 1 – Dec 31 2022,438,173,171,212905
,,Jan 1 – Dec 31 2023,545,152,182,241886
,,Jan 1 – Dec 31 2024,535,340,163,313297
,,Jan 1 – Nov 12 2025,421,207,125,287725
,65 Years or more,Jan 1 – Dec 31 2022,160,188,28,192972
,,Jan 1 – Dec 31 2023,194,154,32,231193
,,Jan 1 – Dec 31 2024,222,357,39,303522
,,Jan 1 – Nov 12 2025,188,234,33,291017
,No value,Jan 1 – Dec 31 2022,10 or fewer,10 or fewer,10 or fewer,2419
,,Jan 1 – Dec 31 2023,10 or fewer,10 or fewer,10 or fewer,6088
,,Jan 1 – Dec 31 2024,10 or fewer,10 or fewer,10 or fewer,2670
,,Jan 1 – Nov 12 2025,10 or fewer,10 or fewer,10 or fewer,3504
,"Total: Total includes all data under the California bucket, including data from rows not currently displayed.",Jan 1 – Dec 31 2022,1681,720,1163,962151
,,Jan 1 – Dec 31 2023,2113,643,1121,1080789
,,Jan 1 – Dec 31 2024,1939,1328,1059,1375358
,,Jan 1 – Nov 12 2025,1518,871,734,1277573
Virginia,Less than 15 Years,Jan 1 – Dec 31 2022,19,76,37,199336
,,Jan 1 – Dec 31 2023,24,68,34,209243
,,Jan 1 – Dec 31 2024,12,86,26,214226
,,Jan 1 – Nov 12 2025,10 or fewer,66,21,179620
,≥ 15 and < 25 Years,Jan 1 – Dec 31 2022,262,176,481,147877
,,Jan 1 – Dec 31 2023,268,180,423,156821
,,Jan 1 – Dec 31 2024,134,228,306,166815
,,Jan 1 – Nov 12 2025,102,289,230,145894
,≥ 25 and < 45 Years,Jan 1 – Dec 31 2022,1090,416,560,315806
,,Jan 1 – Dec 31 2023,1104,423,500,340713
,,Jan 1 – Dec 31 2024,709,505,440,363462
,,Jan 1 – Nov 12 2025,519,641,354,323904
,≥ 45 and < 65 Years,Jan 1 – Dec 31 2022,854,370,156,271110
