Session Title,Heat only Yearly by County 2018-2025 FLKS,,
Session ID,2792484,,
Data Model,Patients,,
Population Base,All Patients,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,State of Residence: STATES_FL_KS,"Encounter Type: Emergency, Emergency to Inpatient",
Session Date Range,1/1/2018 - 12/31/2025,,
Measure,Number of Patients,,
Export User,Stephanie Perniciaro,,
Date of Export,1/22/2026,,
,,,
,,,
,Diagnosis (Encounter),Heat,"Total: Total includes all data, including data from columns not currently displayed."
Year,County of Residence,,
,"JENNINGS, IN",10 or fewer,157
,"DIXIE, FL",10 or fewer,1584
,"MADISON, GA",10 or fewer,522
,"JACKSON, FL",10 or fewer,180
,"GRANT, IN",10 or fewer,1066
,"GEM, ID",10 or fewer,1194
,"JACKSON, IN",10 or fewer,219
,"STORY, IA",10 or fewer,1406
,"BAY, FL",10 or fewer,987
,"JEFFERSON, KS",10 or fewer,1435
,"GOODING, ID",10 or fewer,1489
,"DAVIESS, IN",10 or fewer,1478
,"BREMER, IA",10 or fewer,1299
,"BROOKS, GA",10 or fewer,1416
,"SPENCER, IN",10 or fewer,1374
,"RABUN, GA",10 or fewer,932
,"STEPHENSON, IL",10 or fewer,1095
,"FAYETTE, IL",10 or fewer,197
,"PIATT, IL",10 or fewer,1568
,"UNION, FL",10 or fewer,1410
,"OCONEE, GA",10 or fewer,439
,"LA PORTE, IN",10 or fewer,950
,"PLYMOUTH, IA",10 or fewer,1313
,"IROQUOIS, IL",10 or fewer,1416
,"SANTA ROSA, FL",10 or fewer,850
,"DADE, GA",10 or fewer,1538
,"LOGAN, IL",10 or fewer,1123
,"GADSDEN, FL",10 or fewer,186
,"OWYHEE, ID",10 or fewer,1112
,"MONROE, GA",10 or fewer,667
,"BINGHAM, ID",10 or fewer,171
,"IOWA, IA",10 or fewer,1178
,"PICKENS, GA",10 or fewer,1003
,"BUCHANAN, IA",10 or fewer,1128
,"CASSIA, ID",10 or fewer,554
,"WAPELLO, IA",10 or fewer,648
,"KANKAKEE, IL",10 or fewer,697
,"WHITESIDE, IL",10 or fewer,854
,"ANDERSON, KS",10 or fewer,1333
,"FORD, IL",10 or fewer,1492
,"MADISON, FL",10 or fewer,737
,"CRAWFORD, IL",10 or fewer,938
,"WELLS, IN",10 or fewer,842
,"LEE, IL",10 or fewer,917
,"MONROE, FL",10 or fewer,675
,"GLYNN, GA",10 or fewer,501
,"JONES, GA",10 or fewer,91
,"DUBOIS, IN",10 or fewer,522
,"ALLEN, KS",10 or fewer,219
,"GILMER, GA",10 or fewer,788
,"MASON, IL",10 or fewer,915
,"JACKSON, IA",10 or fewer,995
,"DEKALB, IN",10 or fewer,655
,"DES MOINES, IA",10 or fewer,948
,"HARRIS, GA",10 or fewer,1033
,"JACKSON, KS",10 or fewer,963
,"JASPER, IL",10 or fewer,163
,"UNION, IN",10 or fewer,903
,"PIKE, IN",10 or fewer,930
,"SHELBY, IN",10 or fewer,876
,"OKEECHOBEE, FL",10 or fewer,333
,"BOONE, IN",10 or fewer,798
,"MOULTRIE, IL",10 or fewer,1125
,"UPSON, GA",10 or fewer,877
,"LOUISA, IA",10 or fewer,1172
,"RANDOLPH, IN",10 or fewer,185
,"HAMILTON, FL",10 or fewer,869
,"WAKULLA, FL",10 or fewer,156
,"ELBERT, GA",10 or fewer,352
,"TIPPECANOE, IN",10 or fewer,680
,"GRUNDY, IL",10 or fewer,574
,"BONNEVILLE, ID",10 or fewer,484
,"MARION, IA",10 or fewer,673
,"JO DAVIESS, IL",10 or fewer,774
,"HENRY, IN",10 or fewer,420
,"ADAMS, IN",10 or fewer,678
,"HEARD, GA",10 or fewer,1018
,"WHITE, IL",10 or fewer,895
,"RILEY, KS",10 or fewer,531
,"BROWN, IN",10 or fewer,239
,"UNION, GA",10 or fewer,616
,"MADISON, IA",10 or fewer,799
,"DECATUR, IN",10 or fewer,270
,"WILKINSON, GA",10 or fewer,58
,"FANNIN, GA",10 or fewer,660
,"CASS, IN",10 or fewer,685
,"CLAY, IL",10 or fewer,176
,"STARKE, IN",10 or fewer,205
,"HANCOCK, GA",10 or fewer,74
,"SWITZERLAND, IN",10 or fewer,420
,"STARK, IL",10 or fewer,1174
,"WASHINGTON, ID",10 or fewer,617
,"MORGAN, IL",10 or fewer,618
